
fun_coils#1 - J=1.0e-01, Jf=1.0e-01, ⟨B·n⟩=4.1e-01, B·n max=8.6e-01, ║∇J coils║=1.5e+00, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.9e-39, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.5, 2.5])=18.7, curvature=[0.9, 0.9, 2.5, 2.5], mean squared curvature=[0.9, 0.9, 6.1, 6.1], coils dofs=6.915575214935283, 6.915575214935283, 6.915575214935283, -6.915575214935283, 0.0, 0.0
fun_coils#2 - J=2.7e+00, Jf=3.9e-01, ⟨B·n⟩=5.5e-01, B·n max=1.8e+00, ║∇J coils║=1.8e+02, C-C-Sep=0.08 J_length=2.4e-07, J_CC=9.2e-05, J_CURVATURE=1.9e+00, J_MSC=1.7e+01, J_ALS=5.1e-08, J_LENGTH_PENALTY=4.6e-01 Coil lengths=sum([6.8, 6.9, 4.4, 6.4])=24.5, curvature=[1.0, 1.0, 52.6, 165.9], mean squared curvature=[0.9, 0.8, 27.6, 61.8], coils dofs=6.9115765059154155, 6.909859713968308, 6.9173126981271515, -6.923000757630319, -0.025358910211618995, -0.006491689565308904
fun_coils#3 - J=5.2e-02, Jf=4.9e-02, ⟨B·n⟩=2.8e-01, B·n max=2.2e+00, ║∇J coils║=2.2e+00, C-C-Sep=0.16 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=2.3e-03, J_MSC=2.4e-04, J_ALS=1.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.6, 2.7])=18.9, curvature=[0.9, 0.9, 4.1, 6.1], mean squared curvature=[0.9, 0.9, 6.8, 7.2], coils dofs=6.915234674044945, 6.915088467392925, 6.915723183709748, -6.916207594262724, -0.0021596334763490078, -0.00055284986564143
fun_coils#4 - J=4.6e-02, Jf=4.5e-02, ⟨B·n⟩=2.5e-01, B·n max=6.0e-01, ║∇J coils║=1.0e+00, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=3.4e-04, J_MSC=0.0e+00, J_ALS=3.6e-11, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.6, 2.6])=18.8, curvature=[0.9, 0.9, 3.4, 4.9], mean squared curvature=[0.9, 0.9, 6.3, 6.5], coils dofs=6.9153965910233115, 6.91531990124866, 6.915652828996015, -6.915906916861608, -0.0011327925394993845, -0.00028998633801536857
fun_coils#5 - J=1.6e-01, Jf=1.6e-01, ⟨B·n⟩=6.4e-01, B·n max=1.1e+01, ║∇J coils║=3.7e+00, C-C-Sep=0.14 J_length=1.9e-07, J_CC=2.4e-07, J_CURVATURE=3.2e-03, J_MSC=4.3e-02, J_ALS=5.5e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.7, 2.9])=19.2, curvature=[0.9, 0.9, 4.8, 6.4], mean squared curvature=[0.9, 0.9, 8.0, 9.8], coils dofs=6.914856909173463, 6.91461533384992, 6.9158480748132805, -6.916881752910679, -0.0035070016113693384, -0.00100852112231403
fun_coils#6 - J=3.1e-02, Jf=3.1e-02, ⟨B·n⟩=2.0e-01, B·n max=5.5e-01, ║∇J coils║=6.1e-01, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=2.3e-06, J_MSC=0.0e+00, J_ALS=8.1e-11, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.6, 2.7])=18.8, curvature=[0.9, 0.9, 3.9, 4.1], mean squared curvature=[0.9, 0.9, 6.5, 6.5], coils dofs=6.915284235838782, 6.915173218902161, 6.915693476795887, -6.916109865847589, -0.0016270739359474698, -0.000439576523979884
fun_coils#7 - J=2.3e-02, Jf=2.2e-02, ⟨B·n⟩=1.8e-01, B·n max=5.2e-01, ║∇J coils║=5.1e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-04, J_MSC=0.0e+00, J_ALS=1.2e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.6, 2.7])=18.9, curvature=[0.9, 0.9, 4.3, 4.7], mean squared curvature=[0.9, 0.9, 6.9, 6.6], coils dofs=6.915124464182408, 6.9149792574082225, 6.9158058506881765, -6.916326666033162, -0.0022083237168230747, -0.0006113628370870422
fun_coils#8 - J=1.7e-02, Jf=1.3e-02, ⟨B·n⟩=1.3e-01, B·n max=5.6e-01, ║∇J coils║=9.2e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=4.0e-03, J_MSC=3.8e-03, J_ALS=2.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.6, 2.7])=19.0, curvature=[0.9, 0.9, 4.2, 7.1], mean squared curvature=[0.9, 0.9, 7.5, 7.7], coils dofs=6.914877502415043, 6.914679529618838, 6.916017384221796, -6.916623417024443, -0.0031707142800264667, -0.0008757545460520207
fun_coils#9 - J=1.1e-02, Jf=9.3e-03, ⟨B·n⟩=1.2e-01, B·n max=5.9e-01, ║∇J coils║=4.0e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-03, J_MSC=4.4e-03, J_ALS=2.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.7, 2.8])=19.0, curvature=[0.9, 0.9, 4.5, 5.6], mean squared curvature=[0.9, 0.9, 7.9, 7.2], coils dofs=6.914708101145764, 6.914472726491221, 6.9161710682681266, -6.916819921978143, -0.003861403893470244, -0.0010625217134759017
fun_coils#10 - J=7.6e-03, Jf=6.3e-03, ⟨B·n⟩=1.0e-01, B·n max=6.1e-01, ║∇J coils║=3.9e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-03, J_MSC=2.2e-02, J_ALS=4.0e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.7, 2.8])=19.1, curvature=[0.9, 0.9, 4.9, 5.3], mean squared curvature=[0.9, 0.9, 8.1, 8.8], coils dofs=6.9144889338897055, 6.914207593750732, 6.916385674461433, -6.917055999111278, -0.004759483875766136, -0.0013042282814187255
fun_coils#11 - J=5.8e-03, Jf=5.0e-03, ⟨B·n⟩=9.2e-02, B·n max=5.8e-01, ║∇J coils║=3.2e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=8.6e-04, J_MSC=2.2e-02, J_ALS=4.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.7, 2.8])=19.2, curvature=[0.9, 0.9, 4.1, 5.1], mean squared curvature=[0.9, 0.9, 7.5, 9.0], coils dofs=6.914358207920574, 6.914050435735995, 6.916538485818959, -6.917171688755551, -0.005361538966495877, -0.00146414865104933
