index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jwell,Jiota,Jaspect
0,1,0.10565944133361735,1.8430290496565626e-05,2.1077995149214064e-07,21.077995149214065,4.076717448074277e-08,9.312633561324535e-10,2.636334417648149e-09,0.0,8.845734151363509e-09,15.948270888597676,21.32197826121757,0.004851128523691894,0.0003217363123135218,0.14611142328018906,0.04009649983285949,0.05006731849414559,0.0014447440206402256,0.008062149926314734
1,2,250.0,21.425916161586212,2.1081009345614277e-07,21.081009345614277,9.82650576734716e-08,2.7112937463693294e-06,0.0006769110897433954,0.0,8.804088754512773e-09,18.429719356507135,21.471630641799475,0.4925844345343059,50.90351335860773,0.14367107838504672,0.0,0.0,0.0,0.0
2,3,250.0,0.20529191833863866,2.1077835194405137e-07,21.077835194405136,4.206612724458639e-08,1.2252348878695338e-08,7.758648086812683e-07,0.0,8.843088957640778e-09,16.06073681754932,21.29079917015273,0.4341738693917704,0.6128834476673812,0.14606284874620007,0.0,0.0,0.0,0.0
3,4,0.1016639835534958,1.723918354790579e-05,2.1077994457499476e-07,21.077994457499475,4.077170562150778e-08,9.323854300951988e-10,2.0303803961453428e-09,0.0,8.845723915289448e-09,15.947897872172495,21.321848860044287,0.004760562688365109,0.0006011273910612733,0.1461112302868091,0.039654078545525,0.049915568137382224,0.0014608304162060345,0.00806815498129847
4,5,0.09943429998795442,1.6212727095962943e-05,2.1077994894352867e-07,21.077994894352866,4.0784312085653464e-08,9.570609293719604e-10,1.0905847152394382e-09,0.0,8.845695524041638e-09,15.946819853512633,21.321417535542114,0.004627706086484359,0.0014291647958261462,0.1461103227115481,0.040462769424129214,0.049741843749064235,0.0014975327586812485,0.008075168548384904
5,6,0.09863979013222858,1.5939778272147325e-05,2.1077985853185577e-07,21.077985853185577,4.07857101727782e-08,9.402947866224422e-10,2.189755078191206e-10,0.0,8.845637105369825e-09,15.945168323679972,21.318733075964296,0.0045222407274034615,0.0007609477131594319,0.14610984822431394,0.04044031189626816,0.04960442104581141,0.001545504801338472,0.00807669396510375
6,7,0.09753388021376108,1.56496675981837e-05,2.107798304067838e-07,21.07798304067838,4.078221674954727e-08,9.510544548054474e-10,1.3044313245457578e-10,0.0,8.845608543333153e-09,15.944989717944553,21.317291229774685,0.004471066838757266,0.0004996524841178602,0.1461099194092773,0.04019423121191912,0.049475022997892124,0.0015587544655288684,0.008074184862958403
7,8,0.09674748448592202,1.539013265116193e-05,2.1077993697835762e-07,21.077993697835762,4.076774177422737e-08,1.0812805306810702e-09,2.129503047244748e-10,0.0,8.845574209527916e-09,15.945375693421262,21.315758157761024,0.004443418726641075,0.0007236826107926304,0.14611041251651283,0.040200691191131815,0.049075358148339916,0.0015500762518492984,0.008067997312353086
8,9,0.09580209380834176,1.5144552479010556e-05,2.1078012161362786e-07,21.078012161362786,4.0739625859935015e-08,1.266393345693132e-09,2.8847698440916886e-10,0.0,8.845556956045804e-09,15.945680397904294,21.314902926546818,0.004381341207509391,0.0008795366025568295,0.14611149521716435,0.04002230170066567,0.04866736860945569,0.001524798906219907,0.008062322901287172
9,10,0.09474704921935195,1.4800217487013556e-05,2.1078043633528026e-07,21.078043633528026,4.064849113308971e-08,1.5763456555225784e-09,3.109917811188746e-10,0.0,8.845541947213686e-09,15.94577393395555,21.31321998609346,0.004339323575763535,0.001031611631187235,0.14611517794704318,0.04005726328534538,0.04809170108571232,0.0014771699709610867,0.008052226444036466
10,11,0.09433744201296995,1.4740671328928887e-05,2.107808296001552e-07,21.078082960015518,4.044672140030414e-08,1.9937652371904857e-09,2.4896692758254935e-10,0.0,8.845516626634847e-09,15.945521303466297,21.310022198095684,0.004369266538558003,0.0009322326289526408,0.14612331842995752,0.03989795083054562,0.0475312190995563,0.001426578949462247,0.008030689059052019
11,12,0.0937959644911344,1.4580932677631913e-05,2.107809485041888e-07,21.07809485041888,4.028887356079588e-08,2.1309965837826484e-09,2.0282432647220963e-10,0.0,8.845496998333202e-09,15.945297682032265,21.307918913062295,0.004362111931146939,0.0007919214802226787,0.14612957618435993,0.03986081561241049,0.04743422613489899,0.0014189621089297302,0.008013377101963664
12,13,0.0937243210194593,1.4502705451135658e-05,2.1078092279328526e-07,21.078092279328526,4.00149891865802e-08,2.1029328734425413e-09,1.403419530099553e-10,0.0,8.845471852458736e-09,15.944926729392822,21.304302605978364,0.0043601279459566196,0.0009064826717749144,0.14614050053522606,0.04005178186542712,0.04740112725586465,0.0014149274610663336,0.007990570674571927
13,14,0.09359511824036476,1.4443088149055596e-05,2.1078086195811942e-07,21.07808619581194,3.9966194400329116e-08,2.033806388889697e-09,1.3167696075544064e-10,0.0,8.845471019770112e-09,15.944861345262877,21.303645154429343,0.00435022335974235,0.0009013041230727544,0.14614247154314175,0.04010412198351089,0.04741140588807754,0.0014143424001090026,0.007988844761070634
14,15,0.09335861888271033,1.43393018960473e-05,2.107806531318964e-07,21.07806531318964,3.9862445132185754e-08,1.8046664527929603e-09,1.1700624958271743e-10,0.0,8.845480106482274e-09,15.944708978073947,21.302224022104014,0.00433090159895652,0.0007731932492486689,0.14614675737314062,0.040181389554150196,0.04743327030338402,0.0014108482985066898,0.007990975300411346
