index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.0006907992000670617,0.0006772472755205791,2.104762310299563e-07,21.04762310299563,1.4099913226121767e-06,0.0,1.1931456992840537e-05,0.01492005870119066,6.950916470149854e-09,16.140426053721065,26.27355571810149,0.01851417742283743,0.12502914190283743,0.14381272363913183
1,2,44.305631620512905,0.21545820193865722,4.114751332176454e-07,41.147513321764535,0.02438596956444453,12.215841531007777,31.849945506526893,72.90260808775896,1.1749592313837426e-07,225.57642589636532,86.18674961963833,0.485852821147674,1840.930602134897,0.01686208650496285
2,3,0.0006756084107005633,0.0006720293372027867,2.1047139469163917e-07,21.047139469163916,1.3769719729628665e-06,0.0,1.9916301301220277e-06,0.014921683685752394,6.951520242819549e-09,16.00238533459356,26.240447136402636,0.018446397388659642,0.04841394098174749,0.14386978185048488
3,4,0.0006682442502440177,0.0006656989980486358,2.1046967969692733e-07,21.046967969692734,1.3327032059796673e-06,0.0,1.002079309705294e-06,0.014924845036458937,6.951923199101054e-09,15.968584802890824,26.23572052204581,0.018359475140586525,0.04222276610962333,0.14396647528942147
4,5,0.0006252867274466172,0.000623640568374635,2.104574481258438e-07,21.045744812584378,1.02274109384429e-06,0.0,4.129605300120667e-07,0.01496872138112685,6.954302570000731e-09,15.959067597109723,26.21687072324852,0.017733217815555667,0.023851344912383412,0.1449910243058141
5,6,0.0005990371510160174,0.0005917311163262819,2.1045353168365732e-07,21.045353168365732,1.0835348401175227e-06,0.0,6.012046317934277e-06,0.01504099228901912,6.950192920760984e-09,16.048353532066226,26.239695143291236,0.017180471930180147,0.1051720423617947,0.14594369708190746
6,7,0.0006047286252187982,0.0006035333153321506,2.104549749600172e-07,21.04549749600172,9.848549116875368e-07,0.0,0.0,0.015005333181105427,6.952234838551299e-09,15.9632161130264,26.22357779353972,0.01739983473758778,0.018939362552261658,0.14592697461720075
7,8,0.0011488763269381782,0.0005650278969139793,2.1047007172398418e-07,21.047007172398416,1.230045419382208e-06,0.0,0.0005824079145330927,0.015784238839562176,6.944722003383559e-09,16.649372736777508,26.47018340089583,0.016708952425678075,1.2617425268231324,0.14564365937254836
8,9,0.0005997627728533452,0.0005985358146490977,2.104556444789109e-07,21.04556444789109,9.57789303758364e-07,0.0,5.87132560102744e-08,0.015026777375283308,6.951690953801708e-09,15.98967086828024,26.237280292263854,0.017316217500509514,0.017909712250530816,0.14622854817196243
9,10,0.0007137398545609179,0.0005739564735682386,2.1046207753526676e-07,21.046207753526676,1.0021782236009525e-06,0.0,0.00013857074069154314,0.01519510710810068,6.9479669064230324e-09,16.336788792450555,26.34932497965395,0.016879420155681498,0.5860797327428016,0.1459776306942563
10,11,0.0005956703924050171,0.0005942434199168496,2.1045632828481558e-07,21.04563282848156,9.419583119582724e-07,0.0,2.745578479244199e-07,0.015046517749230853,6.951187499325059e-09,16.014011554865462,26.25059885187671,0.017241891160880072,0.017066628886919004,0.1463294239211815
11,12,0.0006505859070930055,0.0005590110524969794,2.1046461286398607e-07,21.046461286398607,1.7106608537480328e-06,0.0,8.965372912941406e-05,0.015309910767379687,6.942022520379544e-09,16.26491737458005,26.299864593524536,0.016634116069869948,0.4621160770272194,0.1448486460672839
12,13,0.0005880380653776466,0.000582556159129094,2.1045766525670069e-07,21.045766525670068,1.0338288149152018e-06,0.0,4.2376197683806655e-06,0.015111093802077896,6.948937203781227e-09,16.072646956547807,26.25610205385412,0.017046788428725215,0.08283784788483668,0.14595993938054547
13,14,0.0005548473307015544,0.0005505393782383904,2.1046457252879932e-07,21.046457252879932,2.270957233007141e-06,0.0,1.8265306576279995e-06,0.015428339309351427,6.938242072534427e-09,16.031045454054418,26.217125901383373,0.016487815582693056,0.0494753346646434,0.14417736130416972
14,15,0.0005421929773446691,0.0005385800184816768,2.104800774635048e-07,21.04800774635048,3.313280932861564e-06,0.0,8.919785266725447e-08,0.0155873727805594,6.930802107116605e-09,15.98542146435739,26.22914358666082,0.016262378769929857,0.016346343201570294,0.143204965280988
15,16,0.0005380995250615468,0.0005330672424043943,2.1048989487997158e-07,21.048989487997158,3.5920568622316384e-06,0.0,1.2297359000408368e-06,0.015630657687611387,6.928460971209374e-09,16.03153626692091,26.232385149524394,0.016146234399524274,0.0365315500163711,0.14298673473784038
16,17,0.0005299664506677234,0.0005262526532377395,2.105009818912981e-07,21.05009818912981,3.4894584385087864e-06,0.0,1.38380095838483e-08,0.015622284326967332,6.92853139442733e-09,15.971674840991652,26.201478034443664,0.015988376658558092,0.013751683789233212,0.14310771844996312
17,18,0.0005247703954895972,0.0005207584541446656,2.1051790047551277e-07,21.051790047551275,3.7921500707891745e-06,0.0,9.273373666848469e-09,0.015675814089111593,6.926887536232067e-09,15.973302076849688,26.17293141031711,0.015846543132590284,0.014771794523752232,0.14275253224318055
18,19,0.0005108093128597976,0.000507436437792595,2.1055399790797036e-07,21.055399790797036,3.1038737034400968e-06,0.0,5.8447365854584915e-08,0.015549345228111043,6.928632202639516e-09,15.98345727131487,26.079090217260486,0.015662780216190476,0.012012760471793704,0.14331429010491012
