index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,5.030695293338957e-05,4.9390188949614947e-05,2.1173951881870122e-07,21.17395188187012,1.7108683156951425e-07,0.0,5.339376333864061e-07,0.18002897452662533,1.1265376121980021e-08,15.16228085274079,27.963448705216216,0.007526294778052585,0.0067147575397295675,0.14172291451061353
1,2,12.771009948199096,0.16620353438260824,4.0435107388229294e-07,40.43510738822929,0.001836466259919507,10.348792334324267,2.2541772088812273,8.11580730169251,1.0871123990625452e-07,129.2834495381153,71.96749978480395,0.5230436771815503,49.88777687431757,0.020154583798902535
2,3,5.020503385175272e-05,4.925668906379339e-05,2.117368545747279e-07,21.17368545747279,1.7097869351029729e-07,0.0,5.656292398743088e-07,0.17935572790350024,1.1265510776733298e-08,15.157728890043334,27.931604412123146,0.0075335430473271086,0.0072922364477045875,0.14170251753496577
3,4,4.987488903860553e-05,4.9235174009789554e-05,2.1173631900299376e-07,21.173631900299377,1.709744211366335e-07,0.0,2.570042886763478e-07,0.17911501398453836,1.126573113374652e-08,15.140127475137405,27.927305477542,0.007536789956549685,0.003144264540452143,0.14170801144533665
4,5,4.975191941132231e-05,4.921187296101379e-05,2.1173612277105952e-07,21.173612277105953,1.7110218676767332e-07,0.0,1.5720814076978462e-07,0.17905807814062255,1.126581682323161e-08,15.129295961052726,27.926892811438297,0.007539095701154857,0.0021887618751993024,0.14170813022306483
5,6,4.963624406999695e-05,4.916237380178853e-05,2.117366280501009e-07,21.17366280501009,1.7134819789246616e-07,0.0,9.078544226585753e-08,0.17911273688997778,1.1265809922411486e-08,15.119266435165791,27.92938440349497,0.007542759460864664,0.00184398992309386,0.14170793314885874
6,7,4.956920124607456e-05,4.913362328609563e-05,2.1173748044440558e-07,21.173748044440558,1.7040745590743837e-07,1.0208325730572347e-10,5.333094036977596e-08,0.1790064436771818,1.1265835460037212e-08,15.108737524135687,27.927583988483363,0.007549379034282513,0.0017356698796157433,0.14172774445505057
7,8,4.951642805291929e-05,4.9110855227315957e-05,2.117388576225532e-07,21.17388576225532,1.6968364829452465e-07,1.7489470983913572e-09,2.2401372587858606e-08,0.1790670531520741,1.1265787755401725e-08,15.102346970051993,27.92932281671617,0.007553790180044121,0.0010697580671038156,0.14174339318351806
8,9,4.948385888456465e-05,4.9074026959577574e-05,2.1174053667494778e-07,21.17405366749478,1.685385832775642e-07,5.370413661466016e-09,2.4182391373107366e-08,0.17925433290206005,1.1265820509796724e-08,15.108770064653179,27.93528353581448,0.007552317864847903,0.001149672650211566,0.14176670077540773
9,10,4.944721201091537e-05,4.903689618761207e-05,2.1174171077699478e-07,21.174171077699476,1.6682799761576924e-07,9.153540915157059e-09,2.2592573995381757e-08,0.17938951193146718,1.1265954114466689e-08,15.099381052549818,27.938246352849376,0.007548141126646621,0.0010410371044626808,0.14179608381510703
10,11,4.9412859602494905e-05,4.89998147182637e-05,2.1174307407792089e-07,21.17430740779209,1.6390227574591534e-07,1.236092490265672e-08,2.503860950471616e-08,0.17961569478437348,1.1265965749980455e-08,15.09738003061457,27.945751286059043,0.007546564962153653,0.000843566026538181,0.14185143456936586
11,12,4.9394079702430624e-05,4.8964453167594054e-05,2.1174353131559912e-07,21.17435313155991,1.599493069029393e-07,9.248463232600637e-09,4.8685233385434065e-08,0.17994171902696654,1.1265697012934667e-08,15.10761029051152,27.95771671640479,0.007548012560925942,0.0014462170957877407,0.1419254813345348
