QA_or_QH,s_initial,nparticles,tfinal,nsamples,multharm,ns_s,ns_tp,nper,npoiper,npoiper2,notrace_passing,nruns,duration_per_run,std_J,mean_J,coeff_variation
QH,0.3,200,0.001,1000,3,3,3,1500,110,130,0,10,9.281964778900146,0.03903844259188625,0.379,0.10300380631104551
QH,0.3,200,0.001,3000,3,3,3,1500,110,130,0,10,9.32473690509796,0.03675595189897818,0.378,0.09723796798671476
QH,0.3,200,0.001,1000,3,3,3,1500,330,130,0,10,13.59265868663788,0.02736786436680799,0.38099999999999995,0.07183166500474539
QH,0.3,200,0.003,1000,3,3,3,1500,110,130,0,10,18.98235602378845,0.021360009363293842,0.37749999999999995,0.05658280626038105
QH,0.3,600,0.001,1000,3,3,3,1500,110,130,0,10,15.977446913719177,0.02420973174388991,0.37666666666666665,0.06427362409882277
QH,0.3,200,0.001,1000,3,3,3,1500,110.0,390,0,10,14.566395902633667,0.03478505426185216,0.365,0.09530151852562237
QH,0.3,200,0.001,1000,3,3,3,4500,110,130,0,10,9.494398617744446,0.03728605637500429,0.3865,0.09647103848642766

QH,0.3,400,0.0005,1000,3,3,3,100,100,100,0,10,6.987308478355407,0.02540792199295333,0.34974999999999995,0.0726459528032976
QH,0.3,400,0.0005,3000,3,3,3,100,100,100,0,10,7.050814485549926,0.019913877071027642,0.35374999999999995,0.05629364543046684
QH,0.3,400,0.0005,1000,3,3,3,100,300,100,0,10,7.311745572090149,0.022706001409319082,0.35224999999999995,0.06445990463965673
QH,0.3,400,0.0015,1000,3,3,3,100,100,100,0,10,17.368706274032593,0.028116943290478782,0.36775,0.0764566778802958
QH,0.3,400,0.0005,1000,3,3,3,100,100.0,300,0,10,14.425894403457642,0.017904259269793863,0.34975,0.051191591907916695
QH,0.3,1200,0.0005,1000,3,3,3,100,100,100,0,10,15.671614265441894,0.014826777577522819,0.3481666666666666,0.04258528744142505
QH,0.3,400,0.0005,1000,3,3,3,300,100,100,0,10,5.527039384841919,0.028880140235116578,0.35875,0.0805021330595584

QH,0.3,400,0.0005,3000,3,3,3,100,200,120,0,10,8.688472390174866,0.019667549415216923,0.35025000000000006,0.056152889122675
QH,0.3,400,0.0005,3000,3,3,3,100,600,120,0,10,9.531052589416504,0.02056088519495209,0.33849999999999997,0.06074116748878018
QH,0.3,400,0.0005,9000,3,3,3,100,200,120,0,10,10.74899959564209,0.021449067578801658,0.33825,0.06341187754265087
QH,0.3,400,0.0015,3000,3,3,3,100,200,120,0,10,21.550533413887024,0.024684256115994237,0.36475,0.06767445131184163
QH,0.3,1200,0.0005,3000,3,3,3,100,200,120,0,10,19.536946630477907,0.01044030650891054,0.3493333333333334,0.029886373594209557
QH,0.3,400,0.0005,3000,3,3,3,100,200.0,360,0,10,18.792338919639587,0.018236296224836888,0.34325,0.053128321121156265
QH,0.3,400,0.0005,3000,3,3,3,300,200,120,0,10,7.078482818603516,0.016334396223919637,0.37275,0.043821317837477225

QH,0.3,400,0.0005,3000,5,3,3,100,200,120,0,10,9.21806640625,0.013804437692278513,0.34275,0.04027552937207444
QH,0.3,400,0.0005,3000,5,3,3,100,600,120,0,10,10.358446311950683,0.03002498959200484,0.35150000000000003,0.0854196005462442
QH,0.3,400,0.0005,9000,5,3,3,100,200,120,0,10,11.844933819770812,0.030149626863362654,0.36350000000000005,0.08294257734075007
QH,0.3,400,0.0015,3000,5,3,3,100,200,120,0,10,22.74350552558899,0.024699443313564808,0.37175,0.06644100420595778
QH,0.3,1200,0.0005,3000,5,3,3,100,200,120,0,10,20.976560401916505,0.010021158172143132,0.34691666666666665,0.02888635552863742
QH,0.3,400,0.0005,3000,5,3,3,100,200.0,360,0,10,19.90801520347595,0.022073740054644138,0.363,0.06080920125246319
QH,0.3,400,0.0005,3000,5,3,3,300,200,120,0,10,7.867477297782898,0.02031009601158989,0.39249999999999996,0.05174546754545195

QH,0.3,400,0.0005,3000,3,5,3,100,200,120,0,10,10.686233878135681,0.02911721999092634,0.34625,0.08409305412541904
QH,0.3,400,0.0005,3000,3,5,3,100,600,120,0,10,11.936354184150696,0.01982580389290681,0.36224999999999996,0.05472961737172343
QH,0.3,400,0.0005,9000,3,5,3,100,200,120,0,10,12.951884293556214,0.030037476591751194,0.36050000000000004,0.08332171037933755
QH,0.3,400,0.0015,3000,3,5,3,100,200,120,0,10,26.537619280815125,0.024146687143374364,0.36025,0.06702758402047013
QH,0.3,1200,0.0005,3000,3,5,3,100,200,120,0,10,23.916883611679076,0.009872802146413263,0.34983333333333333,0.028221444915902612
QH,0.3,400,0.0005,3000,3,5,3,100,200.0,360,0,10,22.746585297584534,0.01981319005107458,0.34824999999999995,0.05689358234335846
QH,0.3,400,0.0005,3000,3,5,3,300,200,120,0,10,8.699761819839477,0.010594810050208544,0.35950000000000004,0.02947095980586521
