ln,lt,growth_rate,omega,ky,weighted_growth_rate
0.5,0.5,-0.0026302757039790366,0.0587499859202551,2.05561706560439,-0.006964820465428824
1.0,0.5,-0.0038551242427324467,-0.009746186461635043,1.4736125994561549,-0.00906160330839759
2.0,0.5,-0.00463209980529371,-0.38448411228453194,0.5428835233189814,-0.011412882180926733
1.5,0.5,-0.005066326550852103,-0.3097573870817037,0.7572958018829296,-0.014386398107705426
3.0,0.5,-0.004221302938636158,-0.343878400359164,0.2789901587924842,-0.010468959465179535
4.0,0.5,-0.0028993332803837024,-0.4720310065239713,0.2789901587924842,-0.007662455360262587
2.5,0.5,-0.005140770553012706,-0.21081037632167418,0.2,-0.0133611958921292
3.5,0.5,-0.003508152538306011,-0.4055492693797866,0.2789901587924842,-0.009222778417901553
4.5,0.5,-0.002986639744257182,-0.5363941015215447,0.2789901587924842,-0.007863511281250981
5.5,0.5,-0.0034573135681879494,-0.47534680776074606,0.2,-0.009079273752520323
6.0,0.5,-0.0039188557471500915,-0.5136849014062412,0.2,-0.01031837732438413
5.0,0.5,-0.0031593813659419046,-0.4347610508701441,0.2,-0.008389953717597142
0.5,1.0,0.025479878792614055,-0.04148957256997619,0.2789901587924842,0.0189146079313167
1.0,1.0,0.004450552155246326,-0.01119025511853114,1.0563903801010006,-0.008659413929531696
1.5,1.0,-0.004897853296346334,-0.00010494698485988896,2.867484657747546,-0.013160950369697133
2.0,1.0,-0.005018753738793426,-0.2839683623270753,1.0563903801010006,-0.01143061732057495
2.5,1.0,-0.0061852170109532945,-0.2069495961972979,0.2,-0.016411738355918228
4.0,1.0,-0.003083754945196323,-0.4680823173116657,0.2789901587924842,-0.008359697472813465
3.0,1.0,-0.004793448193167993,-0.3406598170001167,0.2789901587924842,-0.012056919876583144
3.5,1.0,-0.003713487682673048,-0.40312268806311896,0.2789901587924842,-0.009907066414500813
4.5,1.0,-0.003215304149605269,-0.532247102941531,0.2789901587924842,-0.008548962837006222
5.5,1.0,-0.00358077159998469,-0.47552987339171277,0.2,-0.009431034326118994
5.0,1.0,-0.0033572334358117767,-0.43436875134072106,0.2,-0.008972785434061678
6.0,1.0,-0.004007100754486569,-0.5148502785564856,0.2,-0.010460137873074178
0.5,1.5,0.050473406591725514,0.13224710187814842,1.0563903801010006,0.051460637843152766
1.0,1.5,0.04339822889113959,0.035203985946786885,1.0563903801010006,0.004781885655096503
1.5,1.5,0.019293440354387983,0.008662712472507486,1.4736125994561549,-0.006751887658942015
2.0,1.5,-0.004987083519848312,-0.0060479472776881,2.05561706560439,-0.011652582960307401
2.5,1.5,-0.006704667064354075,-0.03612707882302412,4.0,-0.01800122186782427
3.0,1.5,-0.005262677529956359,-0.4751188366492228,0.3891775435152778,-0.013508535211697797
3.5,1.5,-0.004042626153817403,-0.5428283262735819,0.3891775435152778,-0.010752453736430589
4.0,1.5,-0.00340042632991766,-0.4643450968376661,0.2789901587924842,-0.009352168245099702
4.5,1.5,-0.0035213166450524906,-0.3906870547428722,0.2,-0.009312660480918047
5.0,1.5,-0.003604281808725187,-0.43395675984712206,0.2,-0.009613216928795982
5.5,1.5,-0.0037436010897031993,-0.4756333936634056,0.2,-0.009799192996790024
6.0,1.5,-0.0041136183320845,-0.5159289014545191,0.2,-0.010573416868653991
1.0,2.0,0.0800156956713714,0.08034438718422815,1.0563903801010006,0.03914513741025576
0.5,2.0,0.07872745923421766,0.17669489247486647,1.0563903801010006,0.08267175771572813
1.5,2.0,0.06703275109007412,0.05950106979413488,1.4736125994561549,0.019142650846648852
2.0,2.0,0.03639784472248654,0.04887806550090131,2.05561706560439,-0.004300892147284753
2.5,2.0,-0.005054117314914706,-0.047879878246243755,0.7572958018829296,-0.016536703627011033
3.0,2.0,-0.005559785715189223,0.002288133519747654,2.867484657747546,-0.014130749068171888
3.5,2.0,-0.004535536815501871,-0.06077373426199789,1.0563903801010006,-0.011873149092128037
4.0,2.0,-0.003846706627909487,-0.1631374472314626,0.7572958018829296,-0.010752678648648532
4.5,2.0,-0.003910641387326818,-0.38940007876053345,0.2,-0.01013448259896078
5.5,2.0,-0.003931334715495945,-0.4755909498871556,0.2,-0.010105944605896268
5.0,2.0,-0.00389195715034206,-0.4335100211559288,0.2,-0.010143291414886714
6.0,2.0,-0.004224021302838989,-0.5168133578598543,0.2,-0.010729205731518915
0.5,2.5,0.10990961793116324,0.22598011082140435,1.0563903801010006,0.1152653043876291
1.0,2.5,0.11572432991500603,0.23135442416105875,1.4736125994561549,0.08719602153084446
1.5,2.5,0.1080384487132114,0.11882651600311289,1.4736125994561549,0.062377910392196
2.0,2.5,0.0768988533959912,0.1194627822469529,2.05561706560439,0.02039663622252361
2.5,2.5,0.04866226728001098,0.03549665843993845,2.05561706560439,-0.006237098426314064
3.0,2.5,0.004310214028881729,0.0219451225764352,2.867484657747546,-0.012141430309718728
3.5,2.5,-0.005106677764353908,0.006257886126713504,1.0563903801010006,-0.013242854237733562
4.0,2.5,-0.0043709080453412305,-0.018564701175159366,0.7572958018829296,-0.012015641673762494
4.5,2.5,-0.004346149775955253,-0.3879283936803756,0.2,-0.011107856916841363
5.0,2.5,-0.004180130919315983,-0.4330154791180498,0.2,-0.010534125145253714
5.5,2.5,-0.004113830253103429,-0.47535738669767413,0.2,-0.01039261738841864
6.0,2.5,-0.004315818827160858,-0.5174531836441092,0.2,-0.010963620266697196
0.5,3.0,0.1436513739992268,0.2650290548958671,1.0563903801010006,0.14893296814654314
1.0,3.0,0.1474325043712886,0.2905805508900679,1.4736125994561549,0.126470578488893
1.5,3.0,0.14679267635176524,0.17667366522490635,1.4736125994561549,0.11065579990704415
2.0,3.0,0.12309663884588246,0.40009625808980537,4.0,0.05468908153585308
2.5,3.0,0.10189693844434587,0.3144514442078624,4.0,0.01855967418779395
3.0,3.0,0.07046911618426231,0.11808134970486112,2.867484657747546,-0.0020446270600694683
3.5,3.0,0.02435158923651717,0.02547607989284449,2.867484657747546,-0.0116665807372144
4.0,3.0,-0.004190963082102093,-0.15141641694724733,0.7572958018829296,-0.012976200231185574
4.5,3.0,-0.004813331177300162,-0.02042547061306329,4.0,-0.011856195081751935
5.0,3.0,-0.004465655514254079,-0.4324540375778893,0.2,-0.010982220563612094
5.5,3.0,-0.004280629379378436,-0.47489962903701644,0.2,-0.010769875318637361
6.0,3.0,-0.004365219050932914,-0.5178348453810161,0.2,-0.011196604215634672
0.5,3.5,0.17278598907924772,0.2992786633296693,1.0563903801010006,0.1801945850236364
1.0,3.5,0.1763502767593958,0.3463153803350109,1.4736125994561549,0.1618518870824593
1.5,3.5,0.18090745683500792,0.5420982702632872,4.0,0.15122224388695
