Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     1,  3.3723e+02,  1.6520938342041760e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     2,  3.3723e+02,  1.6357364695090851e-01,  3.7329581102415986e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     3,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6753644809963286e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     4,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0779016029342542e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     5,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2411220086405875e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     6,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3912800665355805e-02,  2.1539380707832340e-01,  8.0042024214965632e-02
     7,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1754774514910663e-01,  8.0042024214965632e-02
     8,  3.3723e+02,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0842444457115289e-02
     9,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    10,  5.9447e+02,  1.1546373034159368e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    11,  5.9447e+02,  1.1432052509068681e-01,  2.2654625111222775e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    12,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4350749620447589e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    13,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.8300984525325305e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    14,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1486154484651374e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    15,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.7027518462727711e-02,  2.5901141532994643e-01,  1.0573091683482112e-01
    16,  5.9447e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.6160152948324589e-01,  1.0573091683482112e-01
