Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  8.4148e+01,  1.6357364695090851e-01,  3.6959981289520778e-02,  1.6587767138577511e-01, -1.0887894979133880e-01, -1.2536585945864520e-01,  3.3577030361738418e-02,  2.1539380707832340e-01,  8.0042024214965632e-02,  1.6588171777723666e+01
     1,  4.2249e+02,  1.1432052509068681e-01,  2.2430321892299779e-02,  1.4208662990542167e-01, -9.9293923762954858e-02, -1.1602176247122600e-01,  2.6759919270027438e-02,  2.5901141532994643e-01,  1.0573091683482112e-01,  1.2607153912895985e+01
     2,  6.7789e+02,  1.1736292362477894e-01,  3.8970956409509164e-02,  1.4277675212580784e-01, -1.0722423980816974e-01, -1.1725095533485214e-01,  2.9635149193028350e-02,  2.6292743179442124e-01,  1.0749548795632737e-01,  1.3958340308624829e+01
     3,  7.6315e+02,  1.1480477788715239e-01,  2.7013063204824231e-02,  1.4269313313295862e-01, -9.8843588254531239e-02, -1.1612758540626233e-01,  2.6850842224973685e-02,  2.5907716729706332e-01,  1.0698477156260741e-01,  1.3156396763953733e+01
     4,  8.4714e+02,  1.1443900270650718e-01,  2.3572607549786625e-02,  1.4224363484353300e-01, -9.9163227015440017e-02, -1.1604709806853744e-01,  2.6783971636277940e-02,  2.5902188483954947e-01,  1.0604832396325480e-01,  1.2777003911959630e+01
     5,  9.3125e+02,  1.1435002765561203e-01,  2.2715731030758021e-02,  1.4212612532727523e-01, -9.9260436442442895e-02, -1.1602804654803302e-01,  2.6765999960267944e-02,  2.5901376567092360e-01,  1.0581044280594507e-01,  1.2470148805592784e+01
     6,  1.1865e+03,  1.1437644072272646e-01,  2.2774320566450953e-02,  1.4207822104942650e-01, -9.9348977761690785e-02, -1.1605797384343264e-01,  2.6490435269800421e-02,  2.5899674696916752e-01,  1.0580492116426841e-01,  1.2610384146080214e+01
     7,  1.2705e+03,  1.1435662514632411e-01,  2.2730344185602006e-02,  1.4211412006447716e-01, -9.9282599839814259e-02, -1.1603551694806354e-01,  2.6697113259623678e-02,  2.5900952578865460e-01,  1.0580904548627756e-01,  1.2638324608341010e+01
     8,  1.3554e+03,  1.1435167667125852e-01,  2.2719382197660655e-02,  1.4212312220655535e-01, -9.9265979029930757e-02, -1.1602991344267853e-01,  2.6748778563450048e-02,  2.5901270661492598e-01,  1.0581009242888229e-01,  1.2503604756209674e+01
     9,  1.4399e+03,  1.1435043988727052e-01,  2.2716643690142060e-02,  1.4212537443458370e-01, -9.9261822197700064e-02, -1.1602851322774234e-01,  2.6761694628441822e-02,  2.5901350096393028e-01,  1.0581035514638260e-01,  1.2478295739760247e+01
    10,  1.5238e+03,  1.1435013071213679e-01,  2.2715959187336911e-02,  1.4212593759707509e-01, -9.9260782888027380e-02, -1.1602816321521542e-01,  2.6764923628397278e-02,  2.5901369949773573e-01,  1.0581042088697573e-01,  1.2472173001389075e+01
    11,  1.6078e+03,  1.1435005341965637e-01,  2.2715788069386116e-02,  1.4212607839428607e-01, -9.9260523054262098e-02, -1.1602807571465709e-01,  2.6765730877368138e-02,  2.5901374912784914e-01,  1.0581043732594785e-01,  1.2470654065642647e+01
    12,  1.6926e+03,  1.1435003409661769e-01,  2.2715745290382755e-02,  1.4212611359400049e-01, -9.9260458095424137e-02, -1.1602805383967832e-01,  2.6765932689547235e-02,  2.5901376153516886e-01,  1.0581044143592983e-01,  1.2470275049518301e+01
    13,  1.7774e+03,  1.1435002926586310e-01,  2.2715734595662188e-02,  1.4212612239395483e-01, -9.9260441855689857e-02, -1.1602804837094367e-01,  2.6765983142588032e-02,  2.5901376463698578e-01,  1.0581044246344026e-01,  1.2470180356906925e+01
    14,  1.8620e+03,  1.1435002805817478e-01,  2.2715731921983937e-02,  1.4212612459394502e-01, -9.9260437795754733e-02, -1.1602804700376064e-01,  2.6765995755847982e-02,  2.5901376541243920e-01,  1.0581044272031880e-01,  1.2470156690757563e+01
    15,  1.9459e+03,  1.1435002775625272e-01,  2.2715731253564492e-02,  1.4212612514394266e-01, -9.9260436780770858e-02, -1.1602804666196492e-01,  2.6765998909162956e-02,  2.5901376560630252e-01,  1.0581044278453849e-01,  1.2470150756798384e+01
