Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     1,  1.1020e+02,  1.0834671270809482e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     2,  1.1020e+02,  1.0833587912018280e-01, -9.8968461025588705e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     3,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6272166267253932e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     4,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0669186342287321e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     5,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0426978302082821e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     6,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0283402250222883e-01,  1.8559756265247759e-01,  3.1042091023180509e-03
     7,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8561612240874284e-01,  3.1042091023180509e-03
     8,  1.1020e+02,  1.0833587912018280e-01, -9.8978358861474852e-02,  1.6270539213332599e-01,  3.0659186342287320e-03,  1.0425935708511970e-01,  1.0282374012821600e-01,  1.8559756265247759e-01,  3.1052091023180510e-03
     9,  2.0646e+02,  1.0518049507118271e-01, -8.0114027988263906e-02,  1.6533153711114101e-01, -8.3547464146306143e-03,  1.0944899069220293e-01,  8.0797520969724090e-02,  1.4414779444365408e-01, -8.6273020976958305e-03
    10,  2.0646e+02,  1.0519101312068983e-01, -8.0114027988263906e-02,  1.6533153711114101e-01, -8.3547464146306143e-03,  1.0944899069220293e-01,  8.0797520969724090e-02,  1.4414779444365408e-01, -8.6273020976958305e-03
    11,  2.0646e+02,  1.0518049507118271e-01, -8.0106016585465081e-02,  1.6533153711114101e-01, -8.3547464146306143e-03,  1.0944899069220293e-01,  8.0797520969724090e-02,  1.4414779444365408e-01, -8.6273020976958305e-03
    12,  2.0646e+02,  1.0518049507118271e-01, -8.0114027988263906e-02,  1.6534807026485213e-01, -8.3547464146306143e-03,  1.0944899069220293e-01,  8.0797520969724090e-02,  1.4414779444365408e-01, -8.6273020976958305e-03
