Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function,F(0),F(1)
     0,  1.2378e+01,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02,  2.3222110948829364e+00,  1.0003459694771015e+00,  1.1495734148952186e-01
     1,  1.3874e+02,  1.3676283033411230e-01, -2.5656163546500126e-02,  3.3064232745422550e-01, -9.2382176341223532e-02,  1.3768283056842529e-01, -2.9211713985043075e-02,  3.8938454649230358e-01, -9.1809865561096118e-02,  9.9999999999999998e+37, -3.4225878321300742e+00,  1.0000000000000000e+18
     2,  1.4061e+02,  1.3504107918165184e-01, -6.3858805838445165e-02,  2.0721868479257385e-01, -3.2893604109406463e-02,  1.3411282815543607e-01,  6.8822907068485387e-02,  2.2259589326071905e-01, -3.6889568363170130e-02,  9.9999999999999998e+37, -1.2876526125463386e+00,  1.0000000000000000e+18
     3,  1.5288e+02,  1.3461056909670349e-01, -7.3410246784815836e-02,  1.7635881702883086e-01, -1.8019061319450712e-02,  1.3322014803061386e-01,  9.3335065634608846e-02,  1.8089292124031564e-01, -2.3157243208658529e-02,  5.9655963961156502e+01,  1.9729603836993004e-01,  7.7212070451711134e-01
     4,  1.6520e+02,  1.3450267018681483e-01, -7.5801945565584755e-02,  1.6862764333983979e-01, -1.4291309089071004e-02,  1.3299633679589287e-01,  9.9476932785170766e-02,  1.7044405476541347e-01, -1.9715651641800010e-02,  1.5599220219404026e+00,  7.8196687784172525e-01,  9.7388388625075165e-02
     5,  2.8781e+02,  1.3464486875051115e-01, -7.6306296031053933e-02,  1.7058173502431800e-01, -1.5956947868540860e-02,  1.3328066018321083e-01,  9.7494986955440455e-02,  1.7396316592294839e-01, -2.1471047958027695e-02,  5.0074797020668149e-01,  5.9396933631050786e-01,  3.8464060852896990e-02
     6,  4.1092e+02,  1.3492808395088454e-01, -7.6812804845762514e-02,  1.7481108799013514e-01, -1.9790467469712598e-02,  1.3390068433693508e-01,  9.3752777576854157e-02,  1.8108511366143576e-01, -2.4179726524351734e-02,  2.9290499204374643e-01,  2.4171465684822202e-01,  4.8423033435390297e-02
     7,  5.3293e+02,  1.3606756938856449e-01, -7.9292452998891289e-02,  1.7811177407151310e-01, -2.5261821333933839e-02,  1.3603345692807628e-01,  9.2414446494388180e-02,  1.8811530709233812e-01, -2.5331641795486307e-02,  1.3938909283176856e-03, -1.3139035394290843e-02,  3.4946483045154315e-03
     8,  6.4668e+02,  1.3795545624976258e-01, -8.4267545697177884e-02,  1.6221660938526741e-01, -3.4036414505574819e-02,  1.3934466071690546e-01,  8.7649780330093283e-02,  1.9306371851192849e-01, -2.7645189986019475e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
     9,  6.5935e+02,  1.3653279606625934e-01, -8.0561648068543032e-02,  1.7407166470280325e-01, -2.7416954025248613e-02,  1.3685658387204427e-01,  9.1282259460770329e-02,  1.8924930303509083e-01, -2.5881387597921187e-02,  4.7269545203662588e-04,  2.1549781025690606e-02,  2.8813867809461086e-04
    10,  7.8526e+02,  1.3696798081994974e-01, -8.0533385635142479e-02,  1.7486561619038044e-01, -2.7085952548661790e-02,  1.3721462426284953e-01,  9.1756749038648069e-02,  1.8985131019278872e-01, -2.5904168194486814e-02,  6.1645003179949437e-06,  2.5656523705475109e-04,  2.4695494725010032e-04
    11,  8.9852e+02,  1.3825213879566772e-01, -8.1480018912200858e-02,  1.7503001105935043e-01, -2.6720459412507131e-02,  1.3836666495329342e-01,  9.3067550751019024e-02,  1.9075006981391870e-01, -2.6067037512612586e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    12,  8.9968e+02,  1.3728912322344550e-01, -8.0769278328916658e-02,  1.7490885228169481e-01, -2.6995221468718668e-02,  1.3750262474964994e-01,  9.2083176962749078e-02,  1.9007825639560452e-01, -2.5945511139866664e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    13,  9.0085e+02,  1.3704834370933425e-01, -8.0591587073220547e-02,  1.7487852705379245e-01, -2.7063909079092664e-02,  1.3728659326251119e-01,  9.1837078279539339e-02,  1.8991025194361622e-01, -2.5915116996089775e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    14,  9.1325e+02,  1.3698805786054516e-01, -8.0547145573850232e-02,  1.7487081198741500e-01, -2.7081068271281060e-02,  1.3723250964381503e-01,  9.1775539941990197e-02,  1.8986806159511169e-01, -2.5907471708037904e-02,  5.9229208684240717e-06,  1.0999964435409737e-04,  2.4312179965330224e-04
    15,  1.0272e+03,  1.3702863553626751e-01, -8.0576903168260924e-02,  1.7487611839775055e-01, -2.7069329553429503e-02,  1.3726845262082590e-01,  9.1815962385039210e-02,  1.8989580996652458e-01, -2.5913576854523675e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    16,  1.0397e+03,  1.3699820799375376e-01, -8.0554538121925645e-02,  1.7487226821667165e-01, -2.7078172722372906e-02,  1.3724149433802790e-01,  9.1785567815983987e-02,  1.8987513524667660e-01, -2.5909035859568406e-02,  5.8152272768423464e-06,  9.9479982115013854e-05,  2.4094254522605057e-04
    17,  1.1542e+03,  1.3701819945003443e-01, -8.0569346542689643e-02,  1.7487516790932736e-01, -2.7071173696310378e-02,  1.3725954681155245e-01,  9.1805638092854344e-02,  1.8988933622099657e-01, -2.5910068239450107e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    18,  1.1666e+03,  1.3700320611549804e-01, -8.0558238442639027e-02,  1.7487299815586238e-01, -2.7076424468646658e-02,  1.3724600744822493e-01,  9.1790582416278008e-02,  1.8987869079444306e-01, -2.5909295424759220e-02,  5.7619521683638457e-06,  9.8640148442186160e-05,  2.3983790962813092e-04
    19,  1.2801e+03,  1.3701329241969684e-01, -8.0565740820232712e-02,  1.7487444928132995e-01, -2.7073249575744831e-02,  1.3725498731166352e-01,  9.1800636794067553e-02,  1.8988574723009416e-01, -2.5909763640002227e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    20,  1.2925e+03,  1.3700572776584446e-01, -8.0560113525055210e-02,  1.7487336237704906e-01, -2.7075631176582897e-02,  1.3724825241206909e-01,  9.1793095158873059e-02,  1.8988045642609158e-01, -2.5909412900590775e-02,  5.7354182043801083e-06,  9.8297093185095719e-05,  2.3928551744415016e-04
    21,  1.4057e+03,  1.3701073782715856e-01, -8.0563990858681100e-02,  1.7487400761529795e-01, -2.7074328332201632e-02,  1.3725275604201756e-01,  9.1798137864109633e-02,  1.8988388014489033e-01, -2.5910310059945440e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    22,  1.4069e+03,  1.3700698052406185e-01, -8.0561081077526353e-02,  1.7487352866224992e-01, -2.7075306959184801e-02,  1.3724937829998629e-01,  9.1794352876253357e-02,  1.8988131761032498e-01, -2.5909638645762428e-02,  1.0100000000000000e+26,  1.0000000000000000e+12,  1.0000000000000000e+12
    23,  1.4194e+03,  1.3700604101243499e-01, -8.0560354967393943e-02,  1.7487340518598976e-01, -2.7075550494791677e-02,  1.3724853387612129e-01,  9.1793408848530045e-02,  1.8988067302730099e-01, -2.5909469698402285e-02,  5.7321577404244503e-06,  9.8090322401489516e-05,  2.3921822733804425e-04
    24,  1.5105e+03,  1.3700706069814436e-01, -8.0560378210831896e-02,  1.7487333999662147e-01, -2.7075530936778770e-02,  1.3724792546618259e-01,  9.1793800889381535e-02,  1.8988070378844352e-01, -2.5909450598742795e-02,  5.7298105028197220e-06,  1.0254678296650610e-04,  2.3915046853650407e-04
    25,  1.6019e+03,  1.3700682137838852e-01, -8.0560394066708993e-02,  1.7487329554022296e-01, -2.7075517604369024e-02,  1.3724775792456195e-01,  9.1793894263142745e-02,  1.8988074243113537e-01, -2.5909437570760200e-02,  5.7304770723588238e-06,  1.0419396991867558e-04,  2.3915728483555357e-04
    26,  1.6145e+03,  1.3700700086820541e-01, -8.0560382174801173e-02,  1.7487332888252186e-01, -2.7075527603676333e-02,  1.3724788358077741e-01,  9.1793824232821841e-02,  1.8988071344911647e-01, -2.5909447341747147e-02,  5.7299809125655253e-06,  1.0295857961928334e-04,  2.3915226203087239e-04
    27,  1.6270e+03,  1.3700704574065961e-01, -8.0560379201824212e-02,  1.7487333721809656e-01, -2.7075530103503161e-02,  1.3724791499483130e-01,  9.1793806725241608e-02,  1.8988070620361175e-01, -2.5909449784493884e-02,  5.7298088300879447e-06,  1.0264973217477547e-04,  2.3914999189990349e-04
    28,  1.7177e+03,  1.3700704088143514e-01, -8.0560379261158860e-02,  1.7487333705172631e-01, -2.7075530053639749e-02,  1.3724791485110036e-01,  9.1793807034112371e-02,  1.8988070576354490e-01, -2.5909449735764121e-02,  5.7298044279488207e-06,  1.0267154778187404e-04,  2.3914980621411540e-04
    29,  1.8090e+03,  1.3700703968575592e-01, -8.0560379299552148e-02,  1.7487333694408286e-01, -2.7075530021377768e-02,  1.3724791503822018e-01,  9.1793806902168415e-02,  1.8988070577760063e-01, -2.5909449704240861e-02,  5.7298414268459249e-06,  1.0267370384298147e-04,  2.3915057050705711e-04
