index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,1.2591779559258893e-06,1.2574153828957205e-06,10.42678085664421,0.0,0.0,0.0,0.0,1.7625730301688012e-09,9.446502569603771,10.855175887138596,0.004727469776812707,7.143022799952247e-05,0.24648834290912186
1,2,10.055363451181172,0.16317284265047216,24.520255408422784,0.0019803275268621503,9.708396455133084,0.07351287108011764,0.10830090346337926,5.1327259570417993e-08,61.111807175264,25.57473692345706,2.7366084783703934,37.060283622511136,0.026765872071876445
2,3,1.259044423402298e-06,1.2572818481859322e-06,10.42678936438933,0.0,0.0,0.0,0.0,1.7625752163656948e-09,9.44753980079082,10.855951603720397,0.004726807073153318,5.494780055824971e-05,0.24650359188089033
3,4,1.258955426144632e-06,1.2571928535366598e-06,10.426797054915648,0.0,0.0,0.0,0.0,1.7625726079721608e-09,9.44836717548588,10.856853821758735,0.004726509354746871,4.919419352567734e-05,0.24650174691648843
4,5,1.2635236341156198e-06,1.2568784395450356e-06,10.426827825378275,0.0,0.0,0.0,4.882632396776474e-09,1.7625621738077288e-09,9.451677003467823,10.86046376266822,0.004725328137425898,0.0014828632504150878,0.2464943671038541
5,6,1.2589407300893949e-06,1.257178157924247e-06,10.426798360594129,0.0,0.0,0.0,0.0,1.7625721651478594e-09,9.448507639450348,10.857006998976832,0.004726458811801141,4.832435517645578e-05,0.24650143370336342
6,7,1.2606362781533222e-06,1.256973502174685e-06,10.426817805976018,0.0,0.0,0.0,1.9002104076766213e-09,1.7625655709605078e-09,9.450599365515163,10.859288287104617,0.0047257090283190206,0.0009095581261343498,0.24649676974028414
7,8,1.2589257564063856e-06,1.2571631846961885e-06,10.42679970204792,0.0,0.0,0.0,0.0,1.7625717101970038e-09,9.448651950386672,10.857164373482894,0.0047264068848802444,4.7467916343011634e-05,0.24650111191441862
8,9,1.259551074228737e-06,1.25703541104858e-06,10.426811650121063,0.0,0.0,0.0,7.530955218193907e-10,1.7625676583375967e-09,9.449937223912144,10.858566090053564,0.0047259444215162795,0.0005575063425873007,0.24649824607669502
9,10,1.258912399711483e-06,1.2571498284103895e-06,10.426800908334481,0.0,0.0,0.0,0.0,1.7625713010936197e-09,9.448781718820564,10.857305890888203,0.004726360190977505,4.673169254598012e-05,0.24650082255481492
10,11,1.2591549960298924e-06,1.2570734034670228e-06,10.426807997730757,0.0,0.0,0.0,3.1902366598208615e-10,1.7625688968875602e-09,9.44954434497768,10.85813759895195,0.004726085783718802,0.0003488101519121454,0.24649912207827168
11,12,1.2589051541269721e-06,1.2571399901088378e-06,10.426801802866617,0.0,0.0,0.0,2.5930204112414015e-12,1.7625709977230648e-09,9.448877948809303,10.857410834472766,0.004726325565185253,2.2375779008159065e-05,0.24650060798097756
12,13,1.2589277642092341e-06,1.257092785953084e-06,10.426804877134867,0.0,0.0,0.0,7.241921327241261e-11,1.7625590428779088e-09,9.449422642155094,10.8577193967416,0.004726231814406271,0.0001476347463534555,0.24649827237627045
13,14,1.258900542399094e-06,1.257124855666635e-06,10.42680269925334,0.0,0.0,0.0,1.3119220626600073e-11,1.762567511832391e-09,9.449036771520873,10.857500803144248,0.004726296173129036,4.25194148446981e-05,0.246499926952701
14,15,1.2589523117069155e-06,1.2571897899555308e-06,10.426802374918374,0.0,0.0,0.0,0.0,1.7625217513846805e-09,9.449849422743732,10.857302183182515,0.004726592083314721,8.16918392662699e-05,0.24648932949021843
15,16,1.2588815620797934e-06,1.257114467976545e-06,10.426802590203188,0.0,0.0,0.0,4.5419440696693055e-12,1.7625521591786826e-09,9.449309411887366,10.857434129735415,0.004726365464099015,2.5069544861788527e-05,0.24649637152662324
16,17,1.2588626804884725e-06,1.2570956855422077e-06,10.426803619519518,0.0,0.0,0.0,4.4564583181629476e-12,1.7625384879465732e-09,9.449708164306251,10.857433228546318,0.004726320847128294,2.4102479527576983e-05,0.24649759005512895
17,18,1.2587967185651909e-06,1.2570300767700381e-06,10.426807738807334,0.0,0.0,0.0,4.1579882598184436e-12,1.76248380689307e-09,9.451303259951459,10.857430012277963,0.004726161022482381,2.2110046536879663e-05,0.24650246417814448
18,19,1.2584712414523995e-06,1.2567048176398582e-06,10.426847848617433,0.0,0.0,0.0,4.41560099395137e-12,1.7620082115472743e-09,9.463026444527587,10.857432794776976,0.004726052129935208,3.54508249207554e-05,0.24652308694979666
19,20,1.2585684317189983e-06,1.256795654627291e-06,10.426914129811301,0.0,0.0,0.0,1.1548044899181468e-11,1.7612290468078859e-09,9.481147009141397,10.857490794279155,0.004722522992634316,0.00014396038457105447,0.2465441064740841
20,21,1.258327632810161e-06,1.2565598186959181e-06,10.426876696103808,0.0,0.0,0.0,6.145697506035381e-12,1.7616684167368823e-09,9.470921936414376,10.857449686865777,0.004724300760675539,6.0538545772343614e-05,0.24653224853954478
21,22,1.25814530387549e-06,1.2563774845721756e-06,10.426907886811781,0.0,0.0,0.0,6.5271980445789664e-12,1.7612921052696958e-09,9.478891153262406,10.85745307613791,0.004723281020049067,3.637883104213526e-05,0.24653302030449908
