index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
0,1,0.06430869635083042,8.543175147874824e-07,10.557429783397861,0.0,0.0,0.0,0.0,9.797008433137677e-09,12.386899490920289,14.16087745421426,0.002335864128894799,9.579414467336924e-06,0.15002201723943587,0.020630747958283707,1.6822108289634325e-05,0.0,0.00030400114861961003,
1,2,100.0,8.6778724137106,10.588486298686973,1.270188323107718e-08,0.0,0.00197212910315354,0.05351524421519268,9.748926873730259e-09,21.535929575827453,24.467388413219478,1.0673470083297047,32.259921130067234,0.1471777959830843,0.0,0.0,0.0,0.0,0.0
2,3,100.0,0.05712888175092692,10.558324691785314,0.0,0.0,0.0,6.694694401076799e-05,9.79578062526437e-09,12.767366289596914,14.52468643424196,0.5826902213396279,0.3506532321145291,0.15003518448328715,0.0,0.0,0.0,0.0,0.0
3,4,0.09672536041787987,1.4879198290552981e-06,10.557432705731358,0.0,0.0,0.0,5.817812816058419e-10,9.797004481231508e-09,12.38819095555294,14.16208571374662,0.0030970037579506875,0.000957114391810587,0.15002216573410454,0.021322481659414336,1.7843312277975727e-05,0.0,0.0003095148947789442,
4,5,0.06398427480795389,8.468453767854008e-07,10.557430047781068,0.0,0.0,0.0,0.0,9.797008075626267e-09,12.387016344282982,14.160986771334606,0.002324440068638215,4.9167959893830944e-05,0.1500220306747165,0.02067855107494997,1.6910479566933784e-05,0.0,0.00030449969428341425,
5,6,0.0637709796077339,8.422172399384063e-07,10.557432031562385,0.0,0.0,0.0,7.877981378505958e-12,9.79700091102478e-09,12.387098223786452,14.161140982748929,0.0023360625021558684,0.0001572496791969755,0.1500220772150356,0.02069401305540837,1.702961043183495e-05,0.0,0.0003055645064667651,
6,7,0.0637815777194406,8.413239817472543e-07,10.557428285512605,0.0,0.0,0.0,0.0,9.797008144553464e-09,12.386259867715562,14.16020494057269,0.002339645963205587,0.00017635680771558562,0.15002196026335668,0.02074543739970392,1.713501116291161e-05,0.0,0.0003087407135170413,
7,8,0.06373311824358056,8.410375915935189e-07,10.557430568729439,0.0,0.0,0.0,0.0,9.79700373579306e-09,12.386770865744214,14.160775458985636,0.002336413057955466,0.00013570755175204097,0.15002203154877633,0.020713877254124713,1.707085873014471e-05,0.0,0.00030680263568890745,
8,9,0.0636798208936902,8.396661481970112e-07,10.557431913606212,0.0,0.0,0.0,3.0729179047680924e-11,9.797001897690423e-09,12.387299065244601,14.16126573457569,0.002333552691236252,0.00019989060838013648,0.15002106110241784,0.02072659599279576,1.704015480651535e-05,0.0,0.0003081293891418918,
9,10,0.06362904584315517,8.383137526331058e-07,10.557419444835313,0.0,0.0,0.0,0.0,9.797018749097382e-09,12.384622746901506,14.158538407244244,0.002330982482225696,7.557958638755473e-05,0.1500206117521439,0.020742562587086323,1.699558573068726e-05,0.0,0.0003109888296516439,
