index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,1.174181503899212e-07,1.0723603641958209e-07,10.798790565240665,0.0,0.0,0.0,0.0,1.0182113970339108e-08,13.310433878812677,14.453604240041123,0.0009516729463139139,5.854305427365609e-05,0.16370107849608287
1,2,2.8359621883629518,0.18758928531097133,18.08745448868651,0.002005064606509909,2.5313803827348735,0.03526467789764622,0.0797227227457591,5.506719162478737e-08,59.01918735265076,27.494937248729702,1.5954745116180045,15.924353480275016,0.023848541295589755
2,3,1.1736049353626843e-07,1.0717835629097387e-07,10.798794869979655,0.0,0.0,0.0,0.0,1.018213724529456e-08,13.312891191554183,14.454399474827891,0.0009550844562527294,8.776901518716434e-05,0.16369676361686242
3,4,1.1717456719426263e-07,1.0699243021736571e-07,10.798793454223983,0.0,0.0,0.0,0.0,1.0182136976896919e-08,13.31274335570432,14.45437485379362,0.0009525175157391593,2.3659008663625954e-05,0.1636959435790978
4,5,1.171418884210703e-07,1.0695974490682249e-07,10.79879367205855,0.0,0.0,0.0,0.0,1.0182143514247816e-08,13.313008119185907,14.454470297104477,0.0009528749818106444,2.0604412657843898e-05,0.16369427775224055
5,6,1.1704014839326365e-07,1.068579676366437e-07,10.798796022336223,0.0,0.0,0.0,0.0,1.0182180756619945e-08,13.314469869349834,14.455060054800164,0.000955604912009619,2.4588766234733858e-05,0.16368559881615863
6,7,1.169766798277782e-07,1.0679446351321424e-07,10.798800131926278,0.0,0.0,0.0,0.0,1.0182216314563953e-08,13.315682461333711,14.455887911680286,0.0009567092860089066,2.049042209265235e-05,0.16367924790609034
7,8,1.1694651024963256e-07,1.0676421147841309e-07,10.798811001970853,0.0,0.0,0.0,0.0,1.0182298771219469e-08,13.319254184939057,14.458425556753053,0.0009585841077165389,4.6062842769836496e-05,0.16367112365435948
8,9,1.1689517814440641e-07,1.0671285317807622e-07,10.798815112361414,0.0,0.0,0.0,0.0,1.0182324966330193e-08,13.320263998255781,14.459194360156864,0.000956046750744491,1.0667966633437788e-05,0.16366954353096538
9,10,1.1688531115204786e-07,1.0670298989294408e-07,10.7988150105192,0.0,0.0,0.0,0.0,1.0182321259103785e-08,13.320392727872319,14.459197491567188,0.0009554431148738081,8.398799850057848e-06,0.1636715333935568
10,11,1.1685649421800151e-07,1.066741263197448e-07,10.79882243918518,0.0,0.0,0.0,0.0,1.0182367898256707e-08,13.323358483464844,14.460736227880826,0.000953880662852579,9.015888546043669e-06,0.16367433334289766
11,12,1.168648597875522e-07,1.0668237782140796e-07,10.798838326549959,0.0,0.0,0.0,0.0,1.0182481966144248e-08,13.329733744735776,14.46399426120413,0.0009526282651809294,2.475368579442777e-05,0.16367362598138885
12,13,1.1684654806835798e-07,1.0666413176634223e-07,10.798829177879524,0.0,0.0,0.0,0.0,1.0182416302015762e-08,13.326063503171746,14.462118151885267,0.0009532822753993356,1.0943353150577427e-05,0.16367403308871886
13,14,1.1683642786244033e-07,1.0665395963861584e-07,10.798836387891566,0.0,0.0,0.0,0.0,1.0182468223824494e-08,13.328592502909366,14.46340240693255,0.0009526879277974351,4.613564262814218e-06,0.16367484052007922
14,15,1.1683227582887708e-07,1.0664977586071587e-07,10.798840628005335,0.0,0.0,0.0,0.0,1.0182499968161197e-08,13.329892846238858,14.464007741984984,0.0009527045686761152,4.108929542930675e-06,0.1636748392736273
15,16,1.1682204019297233e-07,1.0663944409338194e-07,10.798853803625125,0.0,0.0,0.0,0.0,1.0182596099590381e-08,13.333529808762803,14.46569607423936,0.0009529196366358453,7.780157293588953e-06,0.1636762685260455
16,17,1.1680842990586075e-07,1.0662569297316006e-07,10.798874102497708,0.0,0.0,0.0,0.0,1.01827369327007e-08,13.33888617009176,14.46811419642874,0.0009531047050871259,1.083770009222411e-05,0.16368029442673776
17,18,1.1679053983205043e-07,1.0660752192062428e-07,10.798916703443322,0.0,0.0,0.0,0.0,1.0183017911426149e-08,13.34930444810848,14.473145732866499,0.0009536104198086582,1.5097171134213227e-05,0.16369198320991538
18,19,1.1677588552399649e-07,1.0659266278282254e-07,10.798949962508804,0.0,0.0,0.0,0.0,1.0183222741173953e-08,13.357565754387164,14.476866685091728,0.0009536278066302958,8.076296149274524e-06,0.1637018716757334
19,20,1.1676906566087189e-07,1.0658587147253735e-07,10.798947086084723,0.0,0.0,0.0,0.0,1.0183194188334541e-08,13.356306982598515,14.476419201724543,0.0009535407519162492,3.8054286686384975e-06,0.16370262189131898
20,21,1.167645507537528e-07,1.0658135688636455e-07,10.798949134865353,0.0,0.0,0.0,0.0,1.0183193867388249e-08,13.356007093862459,14.476484533583237,0.0009534879328428362,4.4462246969204035e-06,0.16370446739227879
21,22,1.1676051188463555e-07,1.0657728692460286e-07,10.798955645042273,0.0,0.0,0.0,0.0,1.0183224960032699e-08,13.35676348851937,14.477048493897504,0.0009534916722392824,5.979440539988561e-06,0.16370635241121853
22,23,1.1674607301791818e-07,1.0656267509850247e-07,10.798988207878487,0.0,0.0,0.0,0.0,1.0183397919415714e-08,13.361323097122739,14.479920631375009,0.0009535751356022745,9.048455015220969e-06,0.16371357903126166
23,24,1.1672334261159989e-07,1.0653961331744406e-07,10.799049337496342,0.0,0.0,0.0,0.0,1.018372929415583e-08,13.370143077721796,14.48492705908081,0.0009536634180835646,1.066831095601381e-05,0.1637254114299879
24,25,1.166831929094524e-07,1.0649882953501715e-07,10.799187387721684,0.0,0.0,0.0,0.0,1.0184363374435259e-08,13.3904776419287,14.495259136390306,0.0009535454073158031,1.1496545512970284e-05,0.16374856545413227
25,26,1.1674800354645305e-07,1.0656269224137302e-07,10.799457835421414,0.0,0.0,0.0,0.0,1.0185311305080034e-08,13.420186373201108,14.516887028467913,0.0009529771707503454,2.971897256824488e-05,0.16375838806420281
26,27,1.1666961158746025e-07,1.0648496953027327e-07,10.799266786672945,0.0,0.0,0.0,0.0,1.0184642057186968e-08,13.399188403703121,14.501601992154171,0.0009533285154078294,1.0745089027659725e-05,0.163751451004076
27,28,1.1664557384278758e-07,1.0646056894393875e-07,10.7993632789548,0.0,0.0,0.0,0.0,1.0185004898848814e-08,13.413765873351853,14.50926402406948,0.0009531014388494863,4.217718948288217e-06,0.16375915646042538
28,29,1.1663389477597825e-07,1.0644881219201505e-07,10.799406087133365,0.0,0.0,0.0,0.0,1.01850825839632e-08,13.419995345079744,14.51295790769154,0.0009529858274578816,4.405948567437369e-06,0.1637583697643271
29,30,1.1662309331962991e-07,1.0643800095228304e-07,10.799444681501239,0.0,0.0,0.0,0.0,1.0185092367346873e-08,13.425071281425428,14.516867075361006,0.0009527250041930168,7.133592892583648e-06,0.16375471250389687
30,31,1.1660354723748734e-07,1.0641843084397772e-07,10.799524666971658,0.0,0.0,0.0,0.0,1.0185116393509617e-08,13.435100577444391,14.525407565433099,0.0009524328722165594,9.442872196351064e-06,0.16374926818977623
31,32,1.1657663401814065e-07,1.063913686830654e-07,10.799687190802132,0.0,0.0,0.0,0.0,1.0185265335075252e-08,13.45705670651146,14.544179324517186,0.0009508420512566709,1.4357215313358334e-05,0.16374408440138905
