index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jmercier,Jaspect
0,1,0.1290339434567811,1.583261331906619e-05,10.756523560059662,8.646414024140555e-07,2.295289683843556e-09,0.0,1.736938779146433e-09,2.5921622032929376e-07,16.413274937627083,26.234295073173804,0.0017028543571078352,0.0003005851315311214,0.12671716480674294,0.042786205992485705,26.92900393604197,0.0014452216129329093
1,2,100.0,41.19487449598617,10.75631180910122,8.74125055947476e-07,1.3063832445020045e-09,0.0,0.0,2.591754588694885e-07,16.404933693866603,26.21878721308495,0.32337794784680307,150.49508942996255,0.12669508863969575,0.0,0.0,0.0
2,3,100.0,4.823738087869347,10.756453451771275,8.677491365639933e-07,1.937520650441399e-09,0.0,0.0,2.5920267912811534e-07,16.410515848970732,26.229160334118546,0.4990612143771922,12.761053077542277,0.1267098611099628,0.0,0.0,0.0
3,4,100.0,0.43475893191395265,10.756500721240178,8.656502764393339e-07,2.175448933763423e-09,0.0,2.6293178692495716e-10,2.5921180414087104e-07,16.412376405380606,26.232622326629397,0.27570642608309215,1.4875316826484264,0.1267147861113688,0.0,0.0,0.0
4,5,100.0,0.039303285903623836,10.756516460285813,8.649546615844614e-07,2.2576949777791852e-09,0.0,1.135129452717393e-09,2.5921484698298036e-07,16.41299564518387,26.233775072999272,0.09161103784025487,0.5745900782049393,0.12671642541653844,0.0,0.0,0.0
5,6,15.780962253316241,0.002816256950652145,10.756521640492178,8.647260660052096e-07,2.285094902788632e-09,0.0,1.5614490085704046e-09,2.5921584897188046e-07,16.413199427859603,26.23415448034283,0.02444955994641634,0.15756822917817023,0.12671696490309625,1.69028272957278,24.94457189217306,0.0037558281883146613
6,7,1.6588127390668859,0.00028973138876830053,10.756522959534404,8.646678863365558e-07,2.292097894463125e-09,0.0,1.6810199080185346e-09,2.5921610414871746e-07,16.413251315052573,26.234251089522665,0.007805854815191466,0.04896727649070967,0.1267171022685121,0.2023163698372665,26.230812245480628,0.0022001398466784342
7,8,0.2903248258758751,4.493059129601919e-05,10.756523363969785,8.646500499672269e-07,2.2942472253625487e-09,0.0,1.7185776413306713e-09,2.592161823924175e-07,16.413267224154268,26.234280711163542,0.0030609840684623357,0.015963979117113013,0.12671714438614018,0.058345014452308656,26.698233749147892,0.0016874596573388885
8,9,0.14619329451341603,1.9014470451795384e-05,10.75652349513248,8.646442656716548e-07,2.2949444902135957e-09,0.0,1.730848291722808e-09,2.592162077680022e-07,16.413272383626694,26.234290317778367,0.0019162029234823105,0.005307946828413217,0.1267171580452962,0.04395682254953311,26.847874709263365,0.0015246883737978396
9,10,0.13076503295393982,1.618360607662822e-05,10.756523538463135,8.64642354807385e-07,2.2951748603145795e-09,0.0,1.7349117168310026e-09,2.5921621615106647e-07,16.413274088098184,26.234293491401502,0.0017233538881503772,0.0018085539555052726,0.12671716255770474,0.04273599673056677,26.89959363264136,0.0014715625525538896
10,11,0.12924609241950283,1.588631139666473e-05,10.756523552865229,8.646417196837733e-07,2.295251432462447e-09,0.0,1.7362633724272336e-09,2.5921621893740396e-07,16.413274654624264,26.234294546239322,0.0017048087576820206,0.0006842310864030942,0.1267171640575231,0.042721102177705986,26.919998484130446,0.0014539859913426855
11,12,0.12906949001597096,1.5844452436172883e-05,10.75652355766217,8.646415081417302e-07,2.295276936814355e-09,0.0,1.7367136901348255e-09,2.592162198654567e-07,16.41327484331852,26.23429489757683,0.0017029936640821565,0.00037495950033759775,0.1267171645570712,0.04275963815152852,26.926393643683806,0.001448141090407259
12,13,0.12902849920858453,1.583324892948096e-05,10.756523559260662,8.646414376493763e-07,2.2952854357116023e-09,0.0,1.736863763227078e-09,2.592162201747131e-07,16.413274906197344,26.234295014653483,0.0017027635966964342,0.0003141653688648558,0.12671716472353642,0.04277661108588287,26.927958540033984,0.0014461944401820523
13,14,0.12903150943295338,1.5832713960149407e-05,10.756523559793342,8.646414141585951e-07,2.295288267875254e-09,0.0,1.7369137749522218e-09,2.5921622027776943e-07,16.413274927151054,26.234295053668035,0.0017028165238356832,0.00030363871171507333,0.12671716477900863,0.042782944592576595,26.928667321405303,0.0014455458572343364
14,15,0.12903306331935455,1.5832634484655076e-05,10.75652355997089,8.64641406328794e-07,2.295289211876275e-09,0.0,1.7369304446661188e-09,2.592162203121195e-07,16.41327493413519,26.23429506667209,0.0017028414688566751,0.0003014340654471031,0.1267171647974986,0.042785111975368134,26.928892561876133,0.001445329689223764
15,16,0.12903364277317053,1.5832619135926054e-05,10.756523560030072,8.646414037188621e-07,2.2952895265242954e-09,0.0,1.7369360010558164e-09,2.5921622032356903e-07,16.41327493646315,26.23429507100662,0.0017028500182701305,0.0003008497673491457,0.12671716480366177,0.04278584020844865,26.928965679328623,0.0014452576372414147
16,17,0.12903384227758963,1.5832615089294707e-05,10.756523560049798,8.646414028490203e-07,2.2952896314164885e-09,0.0,1.7369378531419913e-09,2.5921622032738555e-07,16.41327493723912,26.234295072451424,0.0017028529058167358,0.00030067127367031907,0.12671716480571588,0.04278608395708501,26.92899099964977,0.0014452336207264067
17,18,0.12903390967434214,1.583261389172412e-05,10.756523560056378,8.646414025589163e-07,2.29528966639324e-09,0.0,1.7369384708094208e-09,2.592162203286583e-07,16.4132749374979,26.234295072933264,0.0017028538740777052,0.0003006135784302413,0.12671716480640097,0.04278616534941175,26.92899963192427,0.0014452256111857084
18,19,0.1290339350497088,1.583261345936734e-05,10.756523560058845,8.64641402450013e-07,2.2952896795047646e-09,0.0,1.736938702521455e-09,2.592162203291357e-07,16.41327493759498,26.234295073114026,0.001702854237036821,0.0003005921795531698,0.12671716480665818,0.04278619589048515,26.92900286407473,0.0014452226065813354
19,20,0.12903394154528608,1.5832613351298086e-05,10.756523560059476,8.646414024222913e-07,2.2952896828635223e-09,0.0,1.736938761705808e-09,2.5921622032925776e-07,16.413274937619782,26.234295073160194,0.00170285432984397,0.00030058673419095747,0.1267171648067235,0.04278620369368822,26.929003692967175,0.0014452218391267666
20,21,0.12903394302377175,1.5832613326904835e-05,10.75652356005962,8.646414024159191e-07,2.2952896836151987e-09,0.0,1.7369387751761382e-09,2.5921622032928545e-07,16.413274937625424,26.234295073170703,0.0017028543508994286,0.0003005854968227779,0.1267171648067386,0.04278620546880966,26.929003879687272,0.0014452216644178632
21,22,0.1290339433707605,1.5832613321949655e-05,10.756523560059652,8.646414024143917e-07,2.2952896838054966e-09,0.0,1.736938778309002e-09,2.592162203292918e-07,16.41327493762673,26.234295073173147,0.001702854355708111,0.0003005852104122325,0.12671716480674214,0.0427862058811713,26.929003922643076,0.0014452216238116042
22,23,0.129033943436924,1.583261331934159e-05,10.756523560059659,8.646414024141499e-07,2.295289683843556e-09,0.0,1.7369387789644933e-09,2.592162203292933e-07,16.413274937627005,26.23429507317366,0.0017028543567693696,0.00030058514856371214,0.12671716480674283,0.04278620596895788,26.929003931443884,0.0014452216152274471
23,24,0.12903394345280178,1.583261331907757e-05,10.75652356005966,8.646414024140782e-07,2.295289683843556e-09,0.0,1.7369387791119308e-09,2.5921622032929365e-07,16.413274937627072,26.234295073173776,0.0017028543570784033,0.00030058513456488416,0.1267171648067429,0.04278620598796666,26.92900393523714,0.0014452216134156145
24,25,0.12903394345431585,1.583261331880248e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402446,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
25,26,0.1290339434562625,1.583261331932757e-05,10.756523560059662,8.646414024140614e-07,2.295289683843556e-09,0.0,1.7369387791316501e-09,2.592162203292936e-07,16.41327493762708,26.23429507317379,0.0017028543570375646,0.000300585133479097,0.12671716480674294,0.04278620599047868,26.929003934558946,0.00144522161311416
26,27,0.12903394345617544,1.5832613319175212e-05,10.75652356005966,8.646414024140642e-07,2.295289683843556e-09,0.0,1.7369387791357507e-09,2.592162203292936e-07,16.41327493762708,26.23429507317379,0.0017028543570632773,0.00030058513266095326,0.12671716480674294,0.04278620599122066,26.929003934733167,0.0014452216130469001
27,28,0.129033943457521,1.5832613319437412e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.001702854357029331,0.00030058513299047407,0.12671716480674294,0.042786205991262455,26.929003934008527,0.001445221613039877
28,29,0.12903394345989055,1.5832613319865716e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570823628,0.00030058513296201046,0.12671716480674294,0.042786205991493964,26.929003936473517,0.0014452216130362303
29,30,0.12903394345846608,1.5832613319721707e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.001702854356970853,0.00030058513398970694,0.12671716480674294,0.042786205990790076,26.929003934074952,0.0014452216130356901
