index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,1.7406291768244465e-06,1.482025996813495e-06,1.9990845130532897e-07,19.990845130532897,0.0,2.5078200456305442e-08,3.361652824931713e-08,0.0,8.923639288640579e-09,16.090005819190836,24.98813426306166,0.0005451895753347124,0.0010381877733090408,0.15165864022377973
1,2,9.683717191902351,0.4672125602477223,3.866169148237728e-07,38.66169148237728,0.008199639442434816,8.938350639223541,0.26995396637173685,0.7134152468096,1.1531978222561396e-07,182.19127399184632,101.86529303158996,0.33804481538641823,35.56533686079574,0.017032366472124156
2,3,1.6768022128882027e-06,1.4737037215502532e-06,1.99900010412386e-07,19.9900010412386,0.0,1.3506045502258724e-11,3.184974880061232e-09,0.0,8.922218008241396e-09,16.020471995350906,24.975916656099383,0.0005444874150636825,0.0002536567276973158,0.1516462931531829
3,4,1.669096466828045e-06,1.4672414877382603e-06,1.998993520844543e-07,19.98993520844543,0.0,7.601704063034675e-13,1.9548668349240677e-09,0.0,8.922234887725142e-09,16.011768130179085,24.974678337767017,0.0005439593611176097,0.00020944051080571638,0.1516092348583584
4,5,1.6431768790305024e-06,1.4426974886231915e-06,1.9989713161535867e-07,19.989713161535867,0.0,5.159480850969192e-10,6.631070685535178e-11,0.0,8.922255251487967e-09,15.976454900094776,24.96696537420174,0.0005414034548190106,0.00016173916873386032,0.15133830828984052
5,6,1.6346200021828057e-06,1.434727656557307e-06,1.9989234562549882e-07,19.989234562549882,0.0,0.0,0.0,0.0,8.922141589979924e-09,15.960332904870322,24.959158786766835,0.0005419813611085728,0.00023593903943877406,0.15102949873949215
6,7,1.627361191110753e-06,1.4274699173038107e-06,1.9989127380694215e-07,19.989127380694214,0.0,0.0,0.0,0.0,8.922124186324119e-09,15.959826082860136,24.95703093104165,0.0005404907799047677,0.00010820746083241746,0.15096702136057513
7,8,1.6219959410605653e-06,1.4221061121075402e-06,1.9988982895302502e-07,19.988982895302502,0.0,0.0,0.0,0.0,8.922111936350389e-09,15.95906468035011,24.953621291480307,0.0005391217256206351,0.0001044663883923595,0.15083051458711902
8,9,1.6171058969472644e-06,1.4172169904870488e-06,1.9988890646021566e-07,19.988890646021567,0.0,0.0,0.0,0.0,8.92212266580561e-09,15.9589373088052,24.950329667014692,0.0005379404188443711,0.00011485161608808485,0.15065549791300403
9,10,1.6069388052329094e-06,1.4070506355982194e-06,1.9988816963468991e-07,19.98881696346899,0.0,0.0,0.0,0.0,8.922144489987076e-09,15.961112600259757,24.944351179153003,0.0005356010937851365,0.0001167280458008302,0.15022849819766632
10,11,1.6025178939857061e-06,1.4002988562144419e-06,1.9989061957557971e-07,19.989061957557972,1.970002366255054e-09,3.5274210895861255e-10,5.6737204706164755e-12,0.0,8.92171880404851e-09,15.971448756280017,24.934765035326834,0.000533024778892923,0.0002467848654990861,0.14934687028650132
11,12,1.5929838366702153e-06,1.3918289116787918e-06,1.9988956442324035e-07,19.988956442324035,1.2653605681830716e-09,0.0,0.0,0.0,8.921855470868726e-09,15.97055139912742,24.934872097459333,0.0005329670190557104,0.0001000714123752356,0.1494560897300606
12,13,1.5898067068856894e-06,1.3888275828328746e-06,1.9989066216470928e-07,19.989066216470928,9.719583253922376e-10,1.165035627133478e-10,0.0,0.0,8.921838109420442e-09,15.972875414388243,24.936380859594657,0.0005327838823385695,6.615037924861645e-05,0.14951207245119505
13,14,1.5867533092412817e-06,1.384952035755179e-06,1.998895192597743e-07,19.98895192597743,1.5660933861471874e-09,0.0,3.456608401811063e-10,0.0,8.921733468351259e-09,15.978371534640669,24.934187017820797,0.0005322751581142457,6.922183092455259e-05,0.1494030556215734
14,15,1.584335794834237e-06,1.3810439601670235e-06,1.9989061158110578e-07,19.989061158110577,2.7770615823944876e-09,2.150046719970354e-11,6.026610365135906e-10,0.0,8.92166956397152e-09,15.981033993566136,24.93143997974274,0.0005320164265132871,6.484665503124844e-05,0.14923894095484905
15,16,1.5791881057471906e-06,1.3760625370743341e-06,1.9989221824660385e-07,19.989221824660383,3.2159173198903343e-09,0.0,1.7433106362297972e-11,0.0,8.921668619586915e-09,15.975609968328206,24.92703381625055,0.0005318054697764637,5.653067571315396e-05,0.1491811459894199
16,17,1.5735234040967242e-06,1.3703238552529686e-06,1.9989712885123097e-07,19.989712885123097,2.76586478395992e-09,3.7070740522435534e-10,1.658478033404313e-10,0.0,8.921750783842011e-09,15.976004031790024,24.9214684768322,0.0005315778275616695,8.411312513488477e-05,0.14922002362571254
17,18,1.568497292566394e-06,1.3655420501536826e-06,1.999017806098153e-07,19.990178060981528,2.1474795695993448e-09,7.521474987379418e-10,1.5383473455877897e-10,0.0,8.921792372613498e-09,15.971725447164674,24.91195274433081,0.0005311238570809204,0.00012090358917136352,0.14928345484088726
18,19,1.5655873940153945e-06,1.3634440128684855e-06,1.9989926003938682e-07,19.98992600393868,2.188369728534909e-09,0.0,5.575137898718355e-11,0.0,8.921252400086032e-09,15.97184025762982,24.911433261673963,0.0005304306723424525,5.951566651969954e-05,0.14927772635024322
19,20,1.5629407167619917e-06,1.3611976548446714e-06,1.9990052068467022e-07,19.990052068467023,1.6266210858638817e-09,0.0,2.1592014678601422e-10,0.0,8.920882128388453e-09,15.972637251275316,24.911090857295243,0.0005298583880551381,4.8733049898271776e-05,0.1493593086116789
20,21,1.5583524356014924e-06,1.3560785627204896e-06,1.9990560188594498e-07,19.990560188594497,1.7863670715724936e-09,9.720290154212679e-11,4.847010219430651e-10,0.0,8.919805460216266e-09,15.97392173216145,24.907931584603883,0.00052849432231788,6.486743436268367e-05,0.14932342024070921
21,22,1.556534823145401e-06,1.355119858725442e-06,1.9990810553467917e-07,19.990810553467917,1.0213974320101954e-09,1.2257833650272732e-10,3.628831167670787e-10,0.0,8.919471371191589e-09,15.980197385590316,24.9113689036908,0.0005280958390489657,7.725222251845989e-05,0.14947753433361025
22,23,1.5531238424659832e-06,1.3516734491326973e-06,1.9991030036014642e-07,19.991030036014642,1.314611314539062e-09,0.0,2.2548165860046513e-10,0.0,8.919408120373462e-09,15.977084830572338,24.90837353890447,0.0005275344101413175,4.208085589931071e-05,0.14940986864490477
23,24,1.5711324428734174e-06,1.3438515281481711e-06,1.9992439697819067e-07,19.992439697819066,1.949858129822176e-09,0.0,2.5406659617233386e-08,0.0,8.918387642622745e-09,16.023422347817636,24.898641430811615,0.0005258856999517429,0.00037641915939231485,0.14928704799130732
24,25,1.5511650730416765e-06,1.3490829073657766e-06,1.9991355427642446e-07,19.991355427642446,1.450736062908141e-09,0.0,7.17875336567219e-10,0.0,8.919171115386428e-09,15.979521411686417,24.905935895677402,0.0005270344179276146,4.514572732328436e-05,0.14938118250259846
25,26,1.5479559132626299e-06,1.3459418545852478e-06,1.9992029673776887e-07,19.992029673776887,1.6071747065522885e-09,0.0,4.865872330610147e-10,0.0,8.919150439338907e-09,15.977540443250291,24.899765006057848,0.0005264231993415513,5.365386305205001e-05,0.14935104589651152
