Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  4.6418e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     1,  4.6419e+00,  9.5987722221744814e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     2,  4.6419e+00,  9.5977722221744818e-02,  2.4314415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     3,  4.6419e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7582544716948720e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     4,  4.6420e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1059777825504011e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     5,  4.6420e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3128751406136710e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     6,  4.6420e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6663257308872869e-02,  2.0277937099479160e-01,  8.2601196828058485e-02
     7,  4.6420e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0278937099479161e-01,  8.2601196828058485e-02
     8,  4.6420e+00,  9.5977722221744818e-02,  2.4304415477843729e-02,  1.7581544716948719e-01, -1.1060777825504010e-01, -1.3129751406136711e-01,  1.6653257308872869e-02,  2.0277937099479160e-01,  8.2611196828058481e-02
     9,  9.0128e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
