index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jwell,Jiota,Jaspect
0,1,0.011265105355969108,1.2668254862220525e-05,2.0400443204414358e-07,20.40044320441436,3.698736239925856e-08,4.453063628311706e-09,4.6683651965223995e-08,1.5800338676724314e-07,3.9990971807241725e-09,12.02483515587336,16.022699194845377,0.0015325755275257724,3.135200830548186e-05,0.14828058457395638,0.00992956072091031,0.0016370467119002294,1.4015735754473554e-06,9.690223401925553e-06
1,2,100.0,0.024786761003051203,2.0377480919819619e-07,20.377480919819618,2.6393186004822756e-09,3.36203018653637e-08,4.139963521181957e-06,8.130957062401479e-08,3.966806870959977e-09,12.251252541298392,15.942426917987156,0.0737322867497413,0.08046995258690705,0.14929602128090622,0.0,0.0,0.0,0.0
2,3,0.011265058289305328,1.2667775760957484e-05,2.0400442995437103e-07,20.400442995437103,3.6986618484810825e-08,4.451294665616137e-09,4.668448437683385e-08,1.5800138763175933e-07,3.999096882688832e-09,12.02483433819693,16.02269838124844,0.0015325626687038797,3.1151696503431035e-05,0.1482806005113285,0.00992954356841596,0.0016370744163542717,1.3984213849445784e-06,9.74010943285663e-06
3,4,0.011264800102021705,1.2664318953659782e-05,2.0400441431665498e-07,20.4004414316655,3.698105214123283e-08,4.438115703713489e-09,4.669075207894056e-08,1.5798644395828965e-07,3.9990946525001116e-09,12.024828219533878,16.022692293169342,0.0015324829571844844,3.0465098944853657e-05,0.14828071977041768,0.009929491096125294,0.001637281956294489,1.3749561392964577e-06,1.0117471317644243e-05
4,5,0.011264441711624926,1.2658789478359985e-05,2.0400433892479405e-07,20.400433892479406,3.69523050223157e-08,4.3658510915976595e-09,4.671970005980347e-08,1.579050958219017e-07,3.999083795597363e-09,12.024798242176955,16.022661585178636,0.0015321687221830456,3.817047811961244e-05,0.14828128339007843,0.009928886356007145,0.0016395572975680711,1.2797524848792081e-06,1.1884153840923326e-05
5,6,0.011263944096423197,1.2652913008920346e-05,2.0400419283989393e-07,20.400419283989393,3.6890744692215085e-08,4.22119472689838e-09,4.677607376996963e-08,1.5776535257436358e-07,3.999061821808181e-09,12.024737008705497,16.022599919307158,0.0015314853645871781,7.254929893604409e-05,0.14828234300744558,0.009927818329819182,0.0016403375490837797,1.2352698787555903e-06,1.3516011064157095e-05
6,7,0.011263286064910734,1.264772919022492e-05,2.040039822369981e-07,20.40039822369981,3.677257607782119e-08,4.015325363291194e-09,4.690170522856865e-08,1.577097703482798e-07,3.999039349273102e-09,12.024686885329242,16.022530144785485,0.0015304720014444877,0.00013330895433400478,0.148284552437446,0.009927576827731495,0.0016348380470972684,1.3908839455621607e-06,1.208714277569073e-05
7,8,0.011262193375487287,1.2630004251890396e-05,2.0400390349169974e-07,20.400390349169975,3.6218131801852864e-08,3.4100396599517126e-09,4.794890834675677e-08,1.6217575083292546e-07,3.9992022593838445e-09,12.025235888114706,16.023020665243244,0.0015296871023175965,0.00012550334537168848,0.148292912747467,0.009924768308420165,0.0016313026640972432,1.538887336970983e-06,1.3660095095071985e-05
8,9,0.011261139570983271,1.2606612876485533e-05,2.0400386820203877e-07,20.400386820203877,3.548023367512818e-08,3.1939277779567977e-09,5.0125742231278196e-08,1.7068105330911228e-07,3.999476711888596e-09,12.025034467144467,16.02374547547989,0.0015285544774431,0.0003193278295334162,0.1482996897682522,0.009922436969901176,0.001624960399369664,1.698912872011685e-06,1.4703702193891508e-05
9,10,0.011259252715603539,1.2577654296007563e-05,2.0400391754338672e-07,20.40039175433867,3.4657043427392325e-08,3.906847092382333e-09,5.295418422666323e-08,1.7913286435674937e-07,3.999696103652036e-09,12.025491703470966,16.024066705487094,0.0015271890895779236,0.0002982777512181836,0.1483120132039117,0.009923680509956026,0.0016200115840102078,1.6407830095533894e-06,1.3933460286565429e-05
10,11,0.011257737693668515,1.2541812194444055e-05,2.0400487775741282e-07,20.400487775741283,3.295861108537794e-08,4.658279733385498e-09,6.912146079720604e-08,1.845771814687518e-07,4.0004049885966e-09,12.035397477252609,16.02509761217511,0.0015254669106954234,0.0006476757011713649,0.14833328940428067,0.009926451541233363,0.001612282399567061,1.4902941682451546e-06,1.2669950224069343e-05
11,12,0.011255088528291197,1.2518309381577172e-05,2.0400536194466463e-07,20.40053619446646,3.117145968287023e-08,5.74528747635376e-09,6.771040169790044e-08,1.814107516824912e-07,4.000959226413441e-09,12.0357995578869,16.02538544457193,0.0015243557600352884,0.00059501338729289,0.14838167176130151,0.009927612722706803,0.0016068193146508267,1.4155094006957715e-06,1.2485447171254865e-05
12,13,0.011251245115826349,1.2486374525214809e-05,2.0400236481546522e-07,20.40023648154652,2.9595175423661224e-08,3.947823964588475e-09,7.296788889721982e-08,1.683287277729643e-07,4.0010218213283244e-09,12.037242286875593,16.021016033787056,0.0015227643375078195,0.0006344654037583729,0.14841587531386555,0.009927769743170339,0.0015962526768658629,1.4119452367283164e-06,1.2834269679836931e-05
13,14,0.011246819739512401,1.2443964259021975e-05,2.0400063046839713e-07,20.400063046839712,3.001839480754968e-08,6.624833003728458e-09,7.146534176902024e-08,1.5725338557752737e-07,4.0014296560653e-09,12.035466209940864,16.01659370958525,0.0015195102515326866,0.0007129849806883737,0.1484477000451947,0.009927127735022013,0.0015786574259098272,1.4996860175628672e-06,1.3362459850005293e-05
14,15,0.011239734332679299,1.239773322487919e-05,2.040001569913303e-07,20.40001569913303,3.508714532545836e-08,2.6158909274300983e-09,5.610920202885774e-08,1.3705380659727437e-07,4.002495714623038e-09,12.034948326943821,16.015553453628247,0.0015156671847478586,0.0005572823198540579,0.1483756694288858,0.009926783669405376,0.0015572228192208767,1.6228458918962126e-06,1.346226168005356e-05
15,16,0.011234195656892983,1.2295551461770408e-05,2.040168297362652e-07,20.40168297362652,5.450398551430201e-08,4.856910722658511e-08,3.840198101747813e-08,1.1083108665434152e-07,4.0058670617089254e-09,12.032465148965601,16.017966677902493,0.0015069852245894134,0.0008551211608788427,0.14815056217402045,0.009925796274277119,0.0015227622382064864,1.8713206829004427e-06,1.4498730594927249e-05
16,17,0.011227991908876392,1.2205937405199597e-05,2.040091043713592e-07,20.40091043713592,7.587631748647939e-08,2.252921010090085e-08,4.994607188331718e-08,1.0774924635262049e-07,4.0060857816474435e-09,12.035718995517268,16.017396722369643,0.0015055234923611,0.0007144512065754523,0.1479189197778787,0.009927099086659563,0.0014999744707166894,1.8988052165971047e-06,1.5300034511366468e-05
17,18,0.011225532696757,1.2157915651670074e-05,2.0400058838455731e-07,20.40005883845573,8.697856611006755e-08,3.8753036609290916e-09,5.389249281936822e-08,9.861723701712e-08,4.006154779012775e-09,12.034612428463143,16.015793107820606,0.0014967822622904195,0.0008572849125480503,0.14774515508590633,0.009927428657301573,0.0014688041184899563,2.132859351873521e-06,1.62474619705346e-05
18,19,0.011221249904372156,1.2100966392884595e-05,2.0400277207531843e-07,20.400277207531843,8.564791769763852e-08,5.547699316954679e-09,4.9546392842191206e-08,1.0325822301386681e-07,4.006700382783207e-09,12.032578366303225,16.0163770975975,0.00149438756070721,0.00080120425730478,0.14768508856461696,0.009929458718589364,0.0014588245800535315,2.076993021340567e-06,1.6124315786385597e-05
19,20,0.01121442581635976,1.2018177464361766e-05,2.040059084453117e-07,20.40059084453117,7.579972919600287e-08,5.154975894222359e-09,4.809635551465726e-08,1.0431283946525353e-07,4.007696875775375e-09,12.027019151016317,16.013287541535405,0.0014904534860654794,0.0007931984452179293,0.14767843266313727,0.00993235065238093,0.0014409443880031424,2.0156128620296636e-06,1.6364308070823742e-05
20,21,0.011212243990183245,1.188812444928664e-05,2.0401629322232605e-07,20.401629322232605,6.266736734943568e-08,7.0082214853401e-08,7.029815863259772e-08,9.736003934727785e-08,4.0080774348863565e-09,12.031747876688144,16.019883383571585,0.0014813475394306315,0.001165631026674343,0.14803226944728637,0.009936875001964027,0.001411358413733963,1.8993683529782739e-06,1.7120452420278184e-05
21,22,0.011208714639136017,1.1856553908129953e-05,2.0401327964789565e-07,20.401327964789566,5.664622520842123e-08,4.472258921661323e-08,8.183454113720357e-08,9.972863626672194e-08,4.008276981803824e-09,12.034162816736066,16.022906785209873,0.0014791959311179466,0.0010880866683767494,0.14797824720250058,0.009938282490678116,0.0014014200078404314,1.886422806132256e-06,1.7218002435865234e-05
22,23,0.011204621328729403,1.176600547525778e-05,2.0401792269888546e-07,20.401792269888546,5.489682485430208e-08,6.305477109112082e-08,7.977460280873771e-08,1.0899727548537277e-07,4.0087693990974275e-09,12.032011736955756,16.02030258761892,0.0014739433488894537,0.0010262793006614755,0.14784383152181738,0.00993862553594489,0.0013858209821879341,1.9460644821517836e-06,1.8860460743378345e-05
23,24,0.01120039217349191,1.1682217604269592e-05,2.0401772989194485e-07,20.401772989194484,5.522690306812828e-08,5.250779587386632e-08,6.752982464603369e-08,1.5009876236275002e-07,4.008497297483297e-09,12.029424610151136,16.020985718423894,0.0014695434913444886,0.001072809890481274,0.14774961240579304,0.009943630738971365,0.0013683289122247673,1.7864338950757618e-06,1.7737233558519116e-05
24,25,0.011198797006645365,1.1615333958310585e-05,2.040200997867892e-07,20.40200997867892,6.98557956214285e-08,6.772560786735735e-08,5.5593970892493866e-08,1.536135285959829e-07,4.008175086656474e-09,12.024472571503088,16.016411524551565,0.0014662107995664293,0.001147804356321162,0.147539487025802,0.009947234399524559,0.0013499395240164798,1.6827444491984871e-06,1.8120866521362113e-05
25,26,0.011195964955166213,1.1582051474249473e-05,2.040194989425246e-07,20.40194989425246,7.431693639885807e-08,6.109426493066568e-08,5.541541349117951e-08,1.492712193949639e-07,4.007843989139465e-09,12.027489303710492,16.01643077965576,0.0014654313883660684,0.0010970789936264721,0.1475017798632635,0.009947639023031331,0.0013426247622059023,1.7047401372269409e-06,1.8661650021875657e-05
