index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.6382783682223662,0.5193809046574269,1.5079644737231008e-07,15.079644737231007,0.00034466642405898274,0.11855264634443297,0.0,0.0,4.221638438096821e-40,6.666666666666669,11.111111111111114,0.23286838859911158,0.9800885540590504,0.07841371226364838
1,2,0.1056375976752246,0.10443809881221087,1.1720823782674046e-07,11.720823782674046,0.0007635911672335364,8.370815603062141e-05,0.0003520823315117406,0.0,5.897763710770876e-09,24.60741393866235,41.625298547039755,0.08585396002058404,1.0253850983412085,0.03607754395516482
2,3,0.20351284685313875,0.08284298623563738,1.3545113068116268e-07,13.545113068116267,0.002765929306660637,0.030317765796478092,0.08758603006323196,1.6017846927736277,5.48467985379034e-09,114.15028335798482,141.3675672017684,0.07727279701435166,6.6372926989433365,0.010027962340023221
3,4,0.04802141900466517,0.04172963766932146,1.196042680176725e-07,11.96042680176725,0.0007903224967955693,4.552758405510666e-05,0.005455811650225017,0.0031107254708015258,5.6905996407211355e-09,43.74708127769633,54.90953754650926,0.05481322962333321,1.3596943216878985,0.04288293700054852
4,5,0.04884072285589488,0.03121925905922743,1.2271763595653906e-07,12.271763595653907,0.0007035316070247647,0.0010268142135680806,0.015890995258438644,0.08656836195246896,5.275124832081467e-09,65.85947870841544,64.41084137906817,0.047394160234004105,3.429215181749303,0.047456858522434114
5,6,0.03319648577071375,0.03190770272971391,1.20744464144422e-07,12.0744464144422,0.000724697110999936,0.00013472666578597423,0.00042923851974978545,0.0,5.397064278560396e-09,25.898451576324494,47.32904294737514,0.049172893650429046,0.42521562458272977,0.04481205005619005
6,7,0.025583970422328548,0.015498365481144733,1.248487385219463e-07,12.484873852194628,0.0009461522105067806,0.004515253843318722,0.004624074038619793,0.004131878141270528,6.286936765601731e-09,36.07641200109292,64.37182891259515,0.03232892063175992,0.9579722036966825,0.04434040791781937
7,8,0.02121451721186185,0.013023695371782835,1.2525970550839607e-07,12.525970550839606,0.0009538251673544393,0.006017563634368842,0.0012193077786502218,0.0,6.4737624784041515e-09,30.01059667825075,55.23532509915756,0.02782470890922183,0.5881720071415919,0.044336355401220856
8,9,0.015597882664039237,0.01386987972491748,1.2198075234362447e-07,12.198075234362447,0.000671829239947952,0.0010256542633135528,3.0397455107908245e-05,0.0,5.930278546679086e-09,21.78840624620013,46.70672225988582,0.03109134344415787,0.21375516284673032,0.04645024385346486
9,10,0.012127472334960027,0.010613594029623585,1.2179307134439778e-07,12.179307134439776,0.0004945357686404103,0.0009865262600422175,3.269448358246724e-05,0.0,5.971525000938197e-09,22.26963663212365,47.38693576636596,0.026337862320280223,0.16881406505472504,0.051411773396583926
10,11,0.011475410268043653,0.007513066743357616,1.204391887149383e-07,12.04391887149383,9.695185032533835e-05,0.00018801938495492158,0.0036772518502170624,0.008466764466128667,5.751411315738033e-09,34.3717852681301,61.290163882357334,0.023032776781036917,0.7604037710373605,0.06721731900106348
11,12,0.009019527644290062,0.008089933581888451,1.2091125270205045e-07,12.091125270205044,0.00022959978929636485,0.00044474994158480983,0.0002551234202677325,0.0,5.874646356842599e-09,24.15559798107135,49.941781338657876,0.023222849170281855,0.17242601592022022,0.05967907216716658
12,13,0.007461332621644931,0.006494370072242791,1.1969953661784664e-07,11.969953661784663,5.417867196128588e-05,5.18695459791793e-05,0.0008607946319250569,0.0,5.7104165430265704e-09,28.769519630796587,52.83736585379957,0.021136613629903156,0.3312342638770433,0.07559272037054322
13,14,0.0059169259003028435,0.005819674782043952,1.1914046270369369e-07,11.914046270369369,4.8415758469834515e-05,9.413013779214672e-07,4.777491794843238e-05,0.0,5.582659148966329e-09,21.73172875975442,49.46203935024327,0.02000095085768108,0.11161129881919875,0.07459971938332839
14,15,0.00520681024194867,0.005128234466111153,1.1876815651726086e-07,11.876815651726085,3.7001333519891785e-05,0.0,4.1455674161109345e-05,0.0,5.484006037651828e-09,21.8766232127258,49.308984467914755,0.018776042289337578,0.0906774194696624,0.07765275420080103
15,16,0.0037226209603465543,0.0033090593587018526,1.1859480025096636e-07,11.859480025096635,2.5001268135854957e-05,2.5035790377604938e-05,0.00036340594833099063,0.0,5.257046270973157e-09,25.864001378483167,53.12520854821619,0.015257731579881714,0.2112885401916183,0.07938868841802277
16,17,0.003699313307441313,0.0028704721837411983,1.1901594910628045e-07,11.901594910628045,1.9944781697079015e-05,0.00011130208524781323,0.0006974752408061156,0.0,5.170159111719964e-09,25.242217344687685,54.47036981950007,0.01419012791910058,0.28343474748883163,0.08149726144157518
17,18,0.0029191349240464295,0.0027881932797957486,1.1874678610798318e-07,11.874678610798318,2.5936733669276136e-05,1.0414705245889335e-05,9.44714585494074e-05,0.0,5.214932210925734e-09,21.97160035579732,49.38982168686445,0.013752883611473265,0.07874732974836714,0.08038748293170674
18,19,0.0026197113888657133,0.0025216683070461016,1.189464276161727e-07,11.89464276161727,2.6309206523837747e-05,2.0036359506072978e-05,5.1578569362084463e-05,0.0,5.201748153459944e-09,21.66181784988266,50.04905306179221,0.013006008630323584,0.06136017593588355,0.08064075959533559
19,20,0.002223226772039895,0.001836318804875801,1.1988514986621001e-07,11.988514986621002,2.660503561883975e-05,0.0001731182781095339,0.00018706476828585428,2.018056151224177e-06,5.1990968825698e-09,24.68784087205512,53.811577041548695,0.010811498363144748,0.1475168760311413,0.07937637912031652
20,21,0.001832857558426926,0.0016812273163447355,1.1963605675216305e-07,11.963605675216305,2.197377889313632e-05,0.00012504734180037035,4.489485331931403e-06,0.0,5.143595498768914e-09,20.851491585163892,51.16618391958386,0.010298175070728527,0.0535207307241931,0.07995827434976921
21,22,0.0016584784016995273,0.0015577482928406875,1.1945435807138183e-07,11.945435807138182,1.939494730541004e-05,7.819645938401307e-05,3.0192478113454037e-06,0.0,5.068107881904702e-09,20.608728798261616,50.46001775169152,0.009850317291804954,0.0397396992075731,0.08087623537890423
22,23,0.0012547305261119517,0.0011290488147999117,1.192444848887613e-07,11.924448488876129,1.2470982374443807e-05,5.5774221719275506e-05,5.7317262733431806e-05,0.0,4.869136344009145e-09,22.077691849989584,50.14350335363824,0.008330473041835519,0.05786657643615838,0.08751047490704483
23,24,0.0011940735745402968,0.0008885005766444893,1.185762334595945e-07,11.85762334595945,2.2998369910470587e-05,1.560751437372427e-07,0.0002822999766081401,0.0,4.573266710647479e-09,24.927735833793623,50.069737452554904,0.007397522625341534,0.13035068519515944,0.0838236694589153
24,25,0.0008650538533809464,0.000828308214992791,1.1850595393729339e-07,11.85059539372934,1.5270407811299613e-05,2.2052599901301008e-07,2.113619862390545e-05,0.0,4.571766763330227e-09,21.319111319312604,48.35163581222525,0.0071207498562669055,0.03675945890991228,0.08549500479407846
25,26,0.0007509423014793149,0.0007021785509619142,1.1873154566921262e-07,11.873154566921261,2.3439636480018203e-05,6.332615194678196e-06,1.8872767297035003e-05,0.0,4.558074383763074e-09,21.58910518236752,49.181170230760614,0.006543385253718951,0.02673579785415966,0.08421611672636461
26,27,0.000630368529777103,0.0005687063286448652,1.188325601154263e-07,11.88325601154263,2.6625051936989713e-05,2.1884208918281366e-05,1.3034107716851405e-05,0.0,4.497687725815941e-09,21.13056672004951,49.83311165774931,0.005907059352354222,0.02920575149971787,0.08276283478510367
