index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.010931117461675183,0.010930584501162525,1.229315689890249e-07,12.293156898902488,2.616831366428508e-07,3.69845130401745e-08,0.0,1.1136129398707377e-07,2.1379491355891987e-09,24.703263634087584,40.025627871880474,0.03348849303779554,0.2995537622833236,0.07533324988553233
1,2,3.6467204311369157,0.5698282131889176,2.07181163769285e-07,20.7181163769285,0.0007774132603589338,1.0955061113124167,0.11524766975115107,1.8653608164429074,3.067261008317804e-08,177.31878250799076,137.23301324800454,0.20965595419630217,394.99640741962696,0.019187228971338448
2,3,0.551974543945571,0.4970573142699681,1.3557542085932407e-07,13.557542085932408,0.0004798272704816904,0.02507347596360106,0.0005312427058693546,0.028832548160229912,2.621331336741671e-09,40.45920929957076,55.013712191239975,0.19503498465397143,6.888784792060451,0.016273444948245137
3,4,0.009137532480244015,0.009134732117663186,1.2301840882162854e-07,12.301840882162853,9.298330055085235e-07,3.743512999404146e-07,0.0,1.373159866559682e-06,2.132357369871851e-09,24.59578588586987,39.927477076206934,0.030168973670596233,0.2448560031885224,0.07233135941890172
4,5,0.0051092027219939665,0.004669857453938419,1.2370030256775632e-07,12.370030256775632,2.4952625310781922e-05,1.2109012810707036e-05,0.0,0.0004021599296314903,2.0938261874197323e-09,23.70147454544821,40.27789295881348,0.020925232141253244,0.3060616495241532,0.05092856919954998
5,6,0.003975629403682599,0.003672613384004402,1.2367711962074443e-07,12.367711962074441,4.9822742422198915e-06,1.0633186012636102e-05,0.0,0.00028727688230372026,2.0982381828956427e-09,23.939284702631127,40.1194003182577,0.01902006393883412,0.257262168693284,0.06032136556559411
6,7,0.0035205715552760882,0.0035068980308865048,1.2358948403187487e-07,12.358948403187487,5.723477221053019e-06,7.826457684498859e-06,0.0,0.0,2.1088929780507454e-09,23.31151281765094,39.17179175315559,0.018794571787459614,0.07091043430912883,0.06140402082096243
7,8,0.003227490809976226,0.0032122264024795812,1.2365652665455732e-07,12.36565266545573,6.427316481370884e-06,8.713434488618996e-06,0.0,0.0,2.11207182715737e-09,23.289927374965497,39.13945509522227,0.01824998811612418,0.0688181679948521,0.06032125423713881
8,9,0.0026874612631348246,0.0021340902362244054,1.2414660736160383e-07,12.414660736160384,2.5549252195140483e-07,4.503073601768697e-06,0.0,0.0005484883141793376,2.1380490422402495e-09,24.527471795809713,41.60780537700381,0.014531277138180861,0.3396412957070978,0.0758572849638292
9,10,0.0023597461186563645,0.0023318820004954483,1.2377701440636152e-07,12.377701440636152,1.2882572665425549e-06,2.0563368873735337e-06,0.0,2.4395746992593808e-05,2.1181920018346956e-09,23.293385006144057,39.703855114078166,0.015341113603447648,0.06881078401092082,0.0688545278718008
10,11,0.0019783207419590745,0.0016563852615356159,1.2442231030637736e-07,12.442231030637736,1.3583554777053033e-06,3.6728678189596236e-05,0.0,0.0002837240244458507,2.168746149975962e-09,23.596418712845228,40.54775849337072,0.013339636004266728,0.2804538632759889,0.07418296411387816
11,12,0.0015919270316653228,0.0015473404821104762,1.2440022455646202e-07,12.4400224556462,1.7909491527618484e-06,3.326734285887951e-05,0.0,9.403857318648781e-06,2.1769079587893448e-09,23.00316526339165,39.64522411460407,0.012994115783806808,0.057320847315416895,0.07330872719527458
12,13,0.0015200735777131141,0.0014955317857546025,1.243142938189561e-07,12.431429381895608,8.939824089644194e-07,2.341618294785824e-05,0.0,1.0731230787002168e-07,2.1700359487468533e-09,23.02315370449932,39.42701914981454,0.01250604756068113,0.037521218548521855,0.0747020237981188
13,14,0.001427572330645853,0.0013380547933862276,1.2434140268010784e-07,12.434140268010784,1.449364062760508e-06,2.8705519383354078e-05,0.0,5.923831241083063e-05,2.176465227520919e-09,23.43637171205097,39.93458423029952,0.011193489363811805,0.11748598667611578,0.07143191956563023
14,15,0.0012711550980059334,0.0012471336245068931,1.2426482104332464e-07,12.426482104332464,1.3176999206124097e-06,2.2579508757384476e-05,0.0,0.0,2.1772399954537366e-09,23.363629556057855,39.3230894378013,0.010607885150894773,0.04873753160853942,0.07205895898101478
15,16,0.0011531359108078096,0.0011211935963991787,1.2430584853158184e-07,12.430584853158184,1.5638311482852482e-06,3.0254177411814127e-05,0.0,0.0,2.1891589791565416e-09,23.39784453087684,39.211688538169035,0.010483978535267804,0.03535648019650922,0.07218794667727085
16,17,0.0009457268123205342,0.0009164242869082828,1.2421688962978088e-07,12.421688962978088,4.655875529402253e-06,2.4522432993219377e-05,0.0,0.0,2.2019787536682204e-09,23.735433362408088,39.26746847311969,0.010002566505790317,0.03000279763810573,0.06886826709739198
17,18,0.000758334111162384,0.0007215386151926177,1.2413600807940407e-07,12.413600807940407,7.4704550151805585e-06,9.617064210690243e-06,0.0,1.9583840735816186e-05,2.224608434420993e-09,24.340069283194588,39.91540991046753,0.009098315274358044,0.07255985500138873,0.06545988439247692
18,19,0.0006604029952391407,0.0006514787645252163,1.2382805655689524e-07,12.382805655689523,5.752622635964731e-06,3.047780021402821e-06,0.0,0.0,2.216007380219011e-09,23.687168540053605,39.13710213255441,0.00856682236776335,0.03525423727082238,0.06427958354063137
19,20,0.000583553266212701,0.0005653839577891458,1.2387804457969817e-07,12.387804457969818,5.649940519023248e-06,5.24809744113631e-06,0.0,7.147392418815846e-06,2.232453623801614e-09,23.596671524246773,39.49887038714231,0.00801879663786999,0.04441258833921024,0.06505138437714837
20,21,0.0005568794418820078,0.0005412087547063667,1.238671991873673e-07,12.386719918736729,4.59604119435842e-06,4.64151495734411e-06,0.0,6.309263824751251e-06,2.2289972734826e-09,23.033407405397348,39.384331802951394,0.0077211834141552305,0.03629123545779874,0.06839953165114722
21,22,0.0005226571152593367,0.0005162363352620888,1.2380145431862237e-07,12.380145431862235,3.358437972534027e-06,2.9385405703952716e-06,0.0,0.0,2.2211827814648136e-09,22.825561527044595,39.043671279136674,0.007518621542934251,0.016627290736197113,0.06974981179130212
22,23,0.0004690984404826969,0.000459192937954821,1.2372691656377538e-07,12.372691656377537,3.07081131497051e-06,4.542601119308398e-06,0.0,2.168363177033259e-06,2.231810479595353e-09,22.77651402135349,39.19737151885088,0.007158032148421449,0.02914920887616371,0.06957652679226879
23,24,0.000423710232098994,0.0004032334883054229,1.2365161270228023e-07,12.365161270228024,3.2814283978902787e-06,1.285275244027038e-05,0.0,4.218911342708136e-06,2.250823814906299e-09,22.043194412420355,39.34329961915698,0.0068266813443028295,0.027853844125454132,0.06821159225499093
24,25,0.00038630129680053437,0.0003708382554645132,1.235526696496766e-07,12.355266964967662,2.0570718931264715e-06,1.3282416773245036e-05,0.0,0.0,2.243124438663831e-09,21.790428255193277,39.26653840951108,0.00646568799072461,0.014121337774486991,0.07028906541578121
25,26,0.00036033995361824973,0.00034413701670883603,1.234508482680259e-07,12.34508482680259,1.631186192424846e-06,1.3692709697257322e-05,0.0,7.555901714634906e-07,2.245186301373079e-09,21.79868625352392,39.65275284867221,0.006129323264619406,0.017101300088801258,0.07140728828065011
26,27,0.0003277207960711735,0.00032072533769272177,1.2329534378284875e-07,12.329534378284876,1.7249352467462089e-06,3.9676223258706545e-06,0.0,1.1796054620520282e-06,2.2315228038766583e-09,21.53362131993159,39.77718038175139,0.005775024562438739,0.019825215373949722,0.07275094666821524
27,28,0.0003055164735829688,0.0003029213297256099,1.2324144065044874e-07,12.324144065044875,1.6025276631700734e-06,8.693747535384095e-07,0.0,0.0,2.2332569251035974e-09,21.339530476736453,39.574149922189,0.00567226270667035,0.012388005186267292,0.07114663274074817
28,29,0.0003073919518825443,0.0002704821111909617,1.232156810693127e-07,12.321568106931268,2.3583176520383664e-06,1.0634083749148421e-06,0.0,3.3364898983560175e-05,2.257806590730852e-09,21.88037345951249,40.31514055961528,0.005467197518301393,0.07161299300684304,0.06874073836975465
29,30,0.0002877650336880502,0.0002828913836019416,1.2322036677407706e-07,12.322036677407706,1.9358350597682195e-06,8.673290729316368e-07,0.0,1.9472655866346393e-06,2.2451876903932727e-09,21.606356278659156,39.910767976268,0.005541252430928444,0.019579723225128895,0.06986032316588309
30,31,0.00036770431758658014,0.00025109137800968437,1.2322570863565648e-07,12.322570863565646,2.3662250885566017e-06,2.726796944345606e-06,0.0,0.00011139669183535791,2.274679579336974e-09,22.638496188931924,40.560469446089186,0.00531655140996955,0.1395854818147158,0.06957268825498955
31,32,0.0002796239490233633,0.00027161539905178533,1.232158705024872e-07,12.32158705024872,1.9797815112493064e-06,1.1153097796626529e-06,0.0,4.790242810163522e-06,2.2510694912017e-09,21.762985076450985,40.021756053662216,0.005451186308586997,0.0273360938973843,0.06978737630466554
32,33,0.0002660312580977336,0.00026216105651557804,1.2323190515342345e-07,12.323190515342345,2.492248154003438e-06,1.2364497662482872e-06,0.0,1.8271756750410382e-08,2.257347651543703e-09,21.87377309865316,39.61601662808209,0.005372576152051687,0.011298750203443368,0.07009836134104777
33,34,0.0002554342142289295,0.00025062273006624697,1.2317222953215038e-07,12.317222953215037,2.3954151668823014e-06,5.708444682054047e-07,0.0,1.7220522980626586e-06,2.2550409846962405e-09,22.319476536293557,39.76866724055577,0.005268690123003558,0.016749531690411015,0.07022818464753952
34,35,0.00024208375536304027,0.00023428075868500193,1.230459377312603e-07,12.304593773126031,1.9679932077729854e-06,1.5046274076812582e-07,0.0,5.561494791765971e-06,2.2476140098575336e-09,22.97302999667881,39.85132780169867,0.005093668736091463,0.026340278739565588,0.07154198689114595
35,36,0.0002293197701796218,0.0002249738816209979,1.22949290761654e-07,12.294929076165399,1.4914005711628617e-06,1.3910204961431326e-07,0.0,2.592436647085111e-06,2.238651700713189e-09,23.20983867887295,39.8193479877469,0.004970995084360125,0.018141477529704353,0.07222074773179453
36,37,0.00021736958494950967,0.0002075369681411231,1.2283883296616747e-07,12.283883296616748,1.1586142939316281e-06,9.625260773120608e-07,0.0,7.58863760417672e-06,2.2381579832025953e-09,23.86974040380321,40.037085146755516,0.004816486760210929,0.029594956727266173,0.0723975397508349
37,38,0.00020548420055089563,0.00020193029054251335,1.2279440681240828e-07,12.279440681240828,9.039174226688957e-07,2.471852913993378e-06,0.0,5.534526490759286e-08,2.227908722023549e-09,23.72556870429795,39.71044060705874,0.004766282695619848,0.00843575153364161,0.07279126853492877
38,39,0.00020020742811720257,0.00019721229850190673,1.2276679596457777e-07,12.276679596457777,7.38626744511102e-07,2.1337360748201517e-06,0.0,0.0,2.2264418523211554e-09,23.98936884567984,39.73870730266602,0.004748784147393131,0.00752521463885886,0.07335113738864318
39,40,0.00022247308241060072,0.00018271073677626317,1.2265003187471685e-07,12.265003187471686,3.602679113253184e-07,1.5769629427655602e-06,0.0,3.770246474837197e-05,2.227731872299034e-09,25.190384393297382,40.375218811065615,0.004732281812465809,0.06152949019015578,0.07569107569125721
40,41,0.00019445112514434904,0.00019059673486210846,1.227204973219445e-07,12.272049732194448,5.423826093532323e-07,1.756513014522315e-06,0.0,1.4327741610430797e-06,2.2250750314871933e-09,24.373853475368538,39.87920109185983,0.004719099514035915,0.012539495268300498,0.07420408070820264
