index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,3.9182122426111714e-05,3.836463571265293e-05,9.901114733291959e-08,9.901114733291958,6.727888874471835e-07,2.3606931476925943e-08,0.0,2.2079747201752298e-08,2.1139473339522243e-09,16.92523075596742,27.009484979705253,0.0019263101294830606,0.0073824459940009255,0.0738177269689987
1,2,6.850683428312585,0.9683585721423755,1.9490136475677873e-07,19.490136475677872,0.0012347601921037692,1.6170556705538002,0.3228351796852744,3.9411990508376658,5.79822422379004e-08,284.7118778644845,161.01295394907686,0.264950594250035,807.2452735682251,0.014582807671230272
2,3,0.2808748590940186,0.16552688897227508,1.0463695176545578e-07,10.463695176545578,0.00018792239351357061,0.006853476202113486,0.0034591759894657442,0.10484729089969898,2.4030175039162662e-09,35.06885417013627,50.369681677265255,0.11118861369582274,9.1802552379537,0.02531695599357943
3,4,3.686989610652394e-05,3.6019034322744234e-05,9.900800187280567e-08,9.900800187280566,6.406859265327116e-07,2.1532595853109196e-08,0.0,8.963525952108826e-08,2.113598570234326e-09,16.934693863781526,27.00623928639707,0.0018832152378923542,0.0035656020219638498,0.07403026027768989
4,5,3.600172285423031e-05,3.522651555358611e-05,9.900398221717146e-08,9.900398221717145,5.975095417688771e-07,1.2786662774160053e-08,0.0,6.590711388399176e-08,2.1139689383805885e-09,16.93784281502203,26.99834220673855,0.00186513809495239,0.00245104526050322,0.07425019611054597
5,6,3.518307692057209e-05,3.441325423640067e-05,9.900903957115346e-08,9.900903957115347,5.861080282766566e-07,3.2332307163004565e-08,0.0,5.237330916060967e-08,2.1145516816014406e-09,16.938170143668497,27.012678865752132,0.0018484804238570222,0.0023650649812704903,0.07421728964792534
6,7,3.402436033230041e-05,3.3102078662788844e-05,9.901168676498986e-08,9.901168676498987,5.78286024066703e-07,1.1201526725508353e-07,0.0,1.3296869142479075e-07,2.1138244642633766e-09,16.927487010051177,27.019469950785883,0.0018036532378571833,0.004328637007704884,0.0740060845738481
7,8,3.355076332107317e-05,3.2750420183779904e-05,9.900309178790437e-08,9.900309178790437,5.503245120179538e-07,1.0667444120016649e-07,0.0,4.4341092287238874e-08,2.11201418192525e-09,16.904637805970296,26.941894672686686,0.00179081674354402,0.0031476948634922225,0.07424274685317134
8,9,3.285010862452996e-05,3.205478978724921e-05,9.899659582191675e-08,9.899659582191674,5.699271069167236e-07,6.432174670227593e-08,0.0,6.207338783983093e-08,2.111189540334038e-09,16.9177961997063,26.948576559936825,0.0017805167559483937,0.0017201762461598155,0.07435681627512514
9,10,3.245203365717138e-05,3.170773624198801e-05,9.898758322532356e-08,9.898758322532355,5.893225637133355e-07,1.862066768433493e-08,0.0,3.736660056037252e-08,2.110099191284158e-09,16.929468116810273,26.946010433417648,0.001771921005661243,0.001367817669811944,0.074208322185249
