index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.2270319702618144,0.22703181946536702,1.5079644737231008e-07,15.079644737231007,0.0,0.0,0.0,0.0,4.930380657631324e-40,6.6666666666666705,11.111111111111114,0.24335575588992076,0.8911973376081345,0.15607225761290253
1,2,0.23436355191348412,0.21492400052242142,2.0737696540212653e-07,20.737696540212653,0.004094116820135672,0.014822851736437995,0.0005223754575236497,0.0,3.343278622961233e-08,21.373018466435084,20.146349472183843,0.19340924741982546,1.506123443085589,0.06039526587497626
2,3,0.04015033663705253,0.03955465582595007,1.689486255703636e-07,16.894862557036358,0.0005610219317973262,0.0,3.448993067955672e-05,0.0,6.0546725902784235e-09,15.84885800704817,17.78560468637042,0.08718489275094002,0.3087675111573082,0.09809825862918685
3,4,0.01654237462069417,0.01609241011563192,1.7550096125440404e-07,17.550096125440405,0.0003645666969418494,0.0,8.522230715915288e-05,0.0,8.189571286041883e-09,16.890163790485374,19.84760035653103,0.05628627507151536,0.14632314406166863,0.10369089070207194
4,5,0.009981893703960697,0.009796979173538741,1.786843741146307e-07,17.86843741146307,0.00018340734648992032,0.0,1.3284995579212286e-06,0.0,9.072785699159516e-09,14.957433780892176,20.923036769212878,0.043165873636048104,0.11504601557707385,0.10785201747655367
5,6,0.008174538136329143,0.006064899184087427,1.926747185465609e-07,19.26747185465609,0.0007272025980759286,0.0008308614564884805,0.0005513822229587607,0.0,1.0897596312234085e-08,22.317918106419462,28.538880527325688,0.031126709261091998,0.2609801498202835,0.06648007396817364
6,7,0.003816002913890341,0.003607400542205051,1.8309755612514885e-07,18.309755612514884,0.0002061425480884358,0.0,2.2767260407295967e-06,0.0,9.730537249107934e-09,15.74139779547712,23.549722507439732,0.026650346926448944,0.06978799681315176,0.11094913649407794
7,8,0.00447092804913458,0.002412207325687122,1.9106442805203444e-07,19.106442805203443,0.000141814016541244,0.0005330855583061898,0.0013836300841719718,0.0,1.0217656557887637e-08,24.175022725408567,30.838795647945876,0.018794887881488732,0.24232672686512902,0.10449499555921242
8,9,0.001633642559427287,0.0013507494564646305,1.8655387864030336e-07,18.655387864030335,8.666456928582183e-05,0.0,0.00019604197979819444,0.0,9.916679051559976e-09,19.168931676070287,26.876016524896997,0.01647378640533365,0.06661610883574261,0.11250436917682997
9,10,0.0012161747923245952,0.00101801514708235,1.8806401008681513e-07,18.80640100868151,2.6861033038692187e-05,0.0,0.00017111054819346624,0.0,1.0072600564334656e-08,18.740830622748092,27.02582754033582,0.013207601282184664,0.05849884102437389,0.12493977148573746
