Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.8411e+00,  1.0232784514134950e-01,  1.7697073547093500e-02,  1.7925920085797839e-01, -1.0033218827038880e-01, -1.2546255517225649e-01,  1.2209617496841550e-02,  1.8527498260552619e-01,  7.8304719133098249e-02,  1.2493958374533082e-01
     1,  1.7794e+01,  1.1486119534639261e-01,  2.6652463430546631e-02,  1.2636523090456608e-01, -9.4187111175949495e-02, -1.1528999867942276e-01,  2.5659644359511520e-02,  2.6170193196738012e-01,  1.0510754079783201e-01,  3.0963537886304066e-01
     2,  2.1212e+01,  1.0303609009735089e-01,  1.4589270108385920e-02,  1.7875149048397229e-01, -1.0268006792221521e-01, -1.3682638934419095e-01,  1.0314055938319296e-02,  2.0431515502679395e-01,  8.8726023447226937e-02,  1.0898148021555989e-02
     3,  3.8590e+01,  1.0787524377997862e-01,  2.7798005730206413e-02,  1.5265858529625215e-01, -1.0663674101316167e-01, -1.3125880098882586e-01,  2.3001499903053023e-02,  2.4048913661104709e-01,  9.7905276225486323e-02,  2.1125765358576382e-02
     4,  4.1611e+01,  1.0364336220207576e-01,  1.9319124501590706e-02,  1.7344094484079359e-01, -1.0557256539180133e-01, -1.3847582431787803e-01,  1.3927335583805305e-02,  2.1309746693989748e-01,  9.0379453606908924e-02,  9.9858914859587405e-03
     5,  5.6077e+01,  1.0683352009826892e-01,  2.3213393096479941e-02,  1.6141072582856947e-01, -1.0588771894297100e-01, -1.3274479254791977e-01,  1.9082418920704194e-02,  2.3159026947594319e-01,  9.7323566972403019e-02,  1.0693688578422957e-02
     6,  5.9113e+01,  1.0420208483854436e-01,  2.0231360138028259e-02,  1.7056912049200132e-01, -1.0569444365826200e-01, -1.3752123279575373e-01,  1.5141306615248320e-02,  2.1789454596040533e-01,  9.2362755774097999e-02,  9.8885094908679732e-03
     7,  7.3589e+01,  1.0596846828370891e-01,  2.1926537778441668e-02,  1.6493571361965847e-01, -1.0588788220305073e-01, -1.3420720156354249e-01,  1.7683431380002109e-02,  2.2714817349433905e-01,  9.6118650468912090e-02,  9.8931212450720628e-03
     8,  7.6397e+01,  1.0456014697020814e-01,  2.0562078736577775e-02,  1.6924769074744483e-01, -1.0572840071558956e-01, -1.3667220878609687e-01,  1.5733864069352739e-02,  2.2023838727302000e-01,  9.3427546240443457e-02,  9.8609022832625865e-03
     9,  9.0907e+01,  1.0547787277197358e-01,  2.1345473820009959e-02,  1.6650705157992879e-01, -1.0581261594828989e-01, -1.3491495318380359e-01,  1.6980600833471297e-02,  2.2485850301913823e-01,  9.5370509550305294e-02,  9.8431447683780954e-03
    10,  1.0596e+02,  1.0556375839050371e-01,  2.1068307312720871e-02,  1.6642191642185755e-01, -1.0564851791323995e-01, -1.3430748023041472e-01,  1.6929901218100656e-02,  2.2532016278782796e-01,  9.5895328238219973e-02,  9.8395860096419010e-03
    11,  1.2061e+02,  1.0551293234930195e-01,  2.1304586785703333e-02,  1.6633729414833878e-01, -1.0580326710958343e-01, -1.3454068342624162e-01,  1.7066956830018135e-02,  2.2538377662304596e-01,  9.5740071101389698e-02,  9.8395221637416902e-03
    12,  1.3550e+02,  1.0547324669207118e-01,  2.1067527426950554e-02,  1.6657899772270437e-01, -1.0567340403856867e-01, -1.3446674114938484e-01,  1.6874186258462532e-02,  2.2502401067219305e-01,  9.5730285885658559e-02,  9.8395563131305243e-03
    13,  1.3830e+02,  1.0551444371822000e-01,  2.1224251144821293e-02,  1.6637662003621462e-01, -1.0575217826383218e-01, -1.3449391304008382e-01,  1.7014601095184805e-02,  2.2534364615599278e-01,  9.5783934886720351e-02,  9.8394476208756194e-03
    14,  1.5284e+02,  1.0549553336180253e-01,  2.1157834646257024e-02,  1.6647200082518002e-01, -1.0572047015235268e-01, -1.3448021795059917e-01,  1.6952490690842221e-02,  2.2518949248513276e-01,  9.5750331198501015e-02,  9.8394507014065453e-03
    15,  1.5570e+02,  1.0551663660731452e-01,  2.1201446044609846e-02,  1.6639657534953922e-01, -1.0573934980650795e-01, -1.3447054751862456e-01,  1.6998093428506795e-02,  2.2531487279686188e-01,  9.5785952297662333e-02,  9.8394408217475846e-03
    16,  1.7050e+02,  1.0550398802658136e-01,  2.1182803936711618e-02,  1.6643942412869814e-01, -1.0573294714147573e-01, -1.3448136858745710e-01,  1.6975198307955373e-02,  2.2524079715024259e-01,  9.5758904392437408e-02,  9.8394412044404082e-03
    17,  1.7344e+02,  1.0551516191663197e-01,  2.1196113530813143e-02,  1.6640737188537241e-01, -1.0573732516872685e-01, -1.3446815714306284e-01,  1.6992327695006599e-02,  2.2529626666980890e-01,  9.5779520566672466e-02,  9.8394398671674110e-03
    18,  1.8835e+02,  1.0550793120993307e-01,  2.1188908823642872e-02,  1.6642807377380769e-01, -1.0573540981281153e-01, -1.3447848911828575e-01,  1.6981900114488652e-02,  2.2525971410874054e-01,  9.5764582417628974e-02,  9.8394400079871141e-03
    19,  1.9117e+02,  1.0551369304865144e-01,  2.1194544496513160e-02,  1.6641250576045008e-01, -1.0573696380564251e-01, -1.3447039671280414e-01,  1.6989876419498850e-02,  2.2528700144688935e-01,  9.5775462070883985e-02,  9.8394396734293559e-03
    20,  2.0595e+02,  1.0551191380596807e-01,  2.1193266017579426e-02,  1.6641748624351671e-01, -1.0573680908146053e-01, -1.3447376312368386e-01,  1.6987559162404332e-02,  2.2527798625424478e-01,  9.5771358243244564e-02,  9.8394396285910318e-03
