Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  4.8974e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     1,  4.8975e+00,  1.3126119006342093e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     2,  4.8975e+00,  1.3125987746464629e-01, -7.2463761466404139e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     3,  4.8975e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687544506852752e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     4,  4.8976e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6008009138270500e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     5,  4.8976e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319970386097936e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     6,  4.8976e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7573411837181185e-02,  1.5929477614388710e-01,  5.0289090551820306e-03
     7,  4.8976e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929636909164854e-01,  5.0289090551820306e-03
     8,  4.8977e+00,  1.3125987746464629e-01, -7.2464486111265256e-02,  1.5687387632976421e-01,  3.6007009138270501e-03,  1.1319857187526060e-01,  6.7572736109820092e-02,  1.5929477614388710e-01,  5.0290090551820309e-03
     9,  8.6892e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    10,  8.6893e+00,  1.3999663550269786e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    11,  8.6893e+00,  1.3999523555034235e-01, -5.0883216707439158e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    12,  8.6894e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385669207434418e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    13,  8.6894e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0731012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    14,  8.6894e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982222915977760e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    15,  8.6894e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2006303895679715e-02,  1.5657455400840198e-01, -4.4790387467793374e-05
    16,  8.6895e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657611975394206e-01, -4.4790387467793374e-05
    17,  8.6895e+00,  1.3999523555034235e-01, -5.0883725544694607e-02,  1.4385525352180897e-01,  2.0721012474103498e-04,  1.3982083095146808e-01,  5.2005783837841338e-02,  1.5657455400840198e-01, -4.4690387467793372e-05
    18,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    19,  1.2745e+01,  1.1650005616208646e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    20,  1.2745e+01,  1.1649889117317473e-01, -6.0340766850917521e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    21,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773486079727743e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    22,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6822829452221047e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    23,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329630356090667e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    24,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5064567782114363e-02,  1.6266692964329071e-01, -8.8144017525096808e-04
    25,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266855631258714e-01, -8.8144017525096808e-04
    26,  1.2745e+01,  1.1649889117317473e-01, -6.0341370264620164e-02,  1.4773338346344281e-01, -7.6832829452221042e-04,  1.1329517060920058e-01,  6.5063917142942934e-02,  1.6266692964329071e-01, -8.8134017525096813e-04
